,Abstract,Task 1
6572,"Finally, the PPE is put in perspective with existing literature (Newcomb's Problem, Superrationality, Nash Equilibrium, Subgame Perfect Equilibrium, Backward Induction Paradox, Forward Induction).",OTHERS
6657,A re-kindling of interest in unsupervised representation learning makes this technique timely and more effective.,OTHERS
6658,"It is a simple proposal, but to-date one that has not been tested empirically.",OTHERS
6694,Are human perception and decision biases grounded in a form of rationality?,OTHERS
6695,You return to your camp after hunting or gathering.,OTHERS
6696,You see the grass moving.,OTHERS
6697,You do not know the probability that a snake is in the grass.,OTHERS
6698,"Should you cross the grass - at the risk of being bitten by a snake - or make a long, hence costly, detour?",OTHERS
6736,The paradox is inspired by real life norms.,OTHERS
6773,The dataset is available at: http://cs.gmu.edu/~robot/gmu-kitchens.html.,OTHERS
6778,The underlying algorithm and ideas generalize from finding and monitoring subgraphs to the more general problem of computing and maintaining relational equi-joins over dynamic relations.,OTHERS
6794,The proposed receiver is observed to be robust with improved bit error rate performance as compared to a blanking receiver in the presence of impulse noise.,OTHERS
6798,These findings also corroborate a similar phenomenon observed in practice.,OTHERS
6832,This paper is under consideration for publication in Theory and Practice of Logic Programming (TPLP).,OTHERS
6905,"To the best of our knowledge, previous IQA methods have not considered this fact.",OTHERS
6912,The MATLAB code is publicly available to test the algorithm and can be found online at http://layek.khu.ac.kr/CEQI.,OTHERS
6932,"A salient feature of the approach through monoidal categories is the formal graphical language of string diagrams, which supports visual reasoning about programs and computations.",OTHERS
7099,"Sharing data from various sources and of diverse kinds, and fusing them together for sophisticated analytics and mash-up applications are emerging trends, and are prerequisites for grand visions such as that of cyber-physical systems enabled smart cities.",OTHERS
7146,Detailed experi- ments demonstrate the effectiveness of our two-phase learn- ing in each task.,OTHERS
7312,"Future advancements in robot autonomy and sophistication of robotics tasks rest on robust, efficient, and task-dependent semantic understanding of the environment.",OTHERS
7396,We are not aware of any other formalism in the literature that meets all of the above requirements.,OTHERS
7400,"Despite the simplicity of this computational model, it can be exploited to compute a quite large range of problems.",OTHERS
7426,The bacteria inside a node sense the environment and respond accordingly.,OTHERS
7482,"We initiate the study of quantum races, games where two or more quantum computers compete to solve a computational problem.",OTHERS
7483,"While the problem of dueling algorithms has been studied for classical deterministic algorithms, the quantum case presents additional sources of uncertainty for the players.",OTHERS
7484,The foremost among these is that players do not know if they have solved the problem until they measure their quantum state.,OTHERS
7492,Such collisions are undesirable as they lead to forking of the Bitcoin blockchain.,OTHERS
7533,We release our source code and pre-trained Unspeech models under a permissive open source license.,OTHERS
7564,"Furthermore, future research directions on UAV-BS location optimization in 5G and beyond non-terrestrial aerial communication systems are discussed.",OTHERS
7576,To repair this problem they started a new competition at Kaggle site asking the science community to improve their detection with new algorithms.,OTHERS
7687,This article is an empirical contribution to the field of educational technology but also - and above all - a methodological contribution to the analysis of the activities enacted in this field.,OTHERS
7791,Our code and pretrained models (e.g.,OTHERS
7792,Kinetics and ActivityNet) are publicly available at https://github.com/kenshohara/3D-ResNets.,OTHERS
7924,The results we got were the following.,OTHERS
7993,"In this setting, the Byzantine machines may create fake local minima near a saddle point that is far away from any true local minimum, even when robust gradient estimators are used.",OTHERS
8007,Later on I will provide more applications of the new kind of deformations in Finsler geometry.,OTHERS
8039,In this case there are periodic tropical recurrent sequences which are similar to classical linear recurrent sequences.,OTHERS
8124,"The procedures that rise from this project can be applied also to other text types than dictionary glosses, as they convert the output of a parsing process into a semantic representation.",OTHERS
8126,"Which means that these techniques may find an application also in 'query expansion' strategies, interesting Information Retrieval, Search Engines and Question Answering Systems.",OTHERS
8134,Project website: https://www.tugraz.at/institute/icg/research/team-lepetit/research-projects/robust-object-pose-estimation/,OTHERS
8206,For the sake of readability this paper is split into two.,OTHERS
8283,The performance of the modular system could additionally be improved using dedicated file servers or distributed network file systems.,OTHERS
8358,The workflow is derived from a long-term collaboration with a group of machine learning and healthcare professionals who used our method to make sense of machine learning models they developed.,OTHERS
8409,"However, the emergence of `big data' has severely challenged our ability to compute this fundamental decomposition using deterministic algorithms.",OTHERS
8454,Some examples of policy models are presented and discussed in the context of the previous analysis.,OTHERS
8487,The experiment codes are available at https://github.com/lykaust15/NN_decision_boundary,OTHERS
8696,This demonstration showcases how to use PRISM for schema mapping in a real database.,OTHERS
8801,"The main benefit of this approach is that it does not rely on source code or binary instrumentation, but only on a preliminary and general knowledge of an application's architecture to bootstrap the analysis.",OTHERS
8828,"In this paper, we investigate why this is the case.",OTHERS
8893,This reduction cannot be performed using other optical methods for denoising.,OTHERS
8925,To appear in Theory and Practice of Logic Programming (TPLP).,OTHERS
8949,Availability and implementation: https://github.com/lh3/ropebwt2   Contact: hengli@broadinstitute.org,OTHERS
9176,"In this paper, we present the motivation for Mr. DLib, the architecture and details about the effectiveness.",OTHERS
9253,The solver is available for public use through the authors' web site.,OTHERS
9315,"The beta version, so called publicMC@BATAN, has been released and implemented for internal users at the National Nuclear Energy Agency (BATAN).",OTHERS
9340,(2017) as a benchmark for this task.,OTHERS
9364,Our results show that QShare ensures bandwidth guarantees while driving network utilization to over 91% even under unpredictable traffic demands.,OTHERS
9369,"In a previous version of the report, we use a similar argument based on randomness to show that the P = NP assertion was also impossible to prove, but this part of the paper was shown to be incorrect.",OTHERS
9370,"So, this version deletes it.",OTHERS
9421,"This paper outlines the architectural design and embodies the implementation, test results and performance evaluation of the Treasure-Crawler system.",OTHERS
9442,The image biomarker standardisation initiative (IBSI) is an independent international collaboration which works towards standardising the extraction of image biomarkers from acquired imaging for the purpose of high-throughput quantitative image analysis (radiomics).,OTHERS
9462,"However, manyresearchers inspired by the great success of deep neural networks (DNN)approaches in the automatic speech recognition, applied DNN in thespoofing detection task and obtained quite low EER for known and un-known type of spoofing attacks.",OTHERS
9470,(2007).,OTHERS
9521,The datasets are available at https://github.com/bdhingra/quasar .,OTHERS
9533,We believe our dataset promotes collaborative research of the threat information analysis to generate CTI.,OTHERS
9597,BIN can be implemented with only a few lines of code using popular deep learning frameworks.,OTHERS
9701,"The input for the neural network is a simulated object list similar to that of Radar or Lidar sensors, superimposed by a relational semantic scene description.",OTHERS
9732,"We show how to use FoamGrid, with particular attention to the extensions of the grid interface needed to handle non-manifold topology and grid growth.",OTHERS
9851,The possible gains of the system w.r.t. a pure LOS MIMO system are illustrated by evaluating the capacities with total transmit power constraints.,OTHERS
9877,"In addition, we discuss the limitations of existing benchmarks and propose more challenging ones.",OTHERS
9904,This corpus will help to develop models to automatically assign a personality trait to an author of a text document.,OTHERS
10018,"Accordingly, the book is structured into the following three parts: Part A: Fault tolerance engineering: from requirements to code; Part B: Verification and validation of fault tolerant systems; Part C: Languages and Tools for engineering fault tolerant systems.",OTHERS
10031,"Also, we visualize the filters along layers and compare the characteristics of learned filters.",OTHERS
10054,We evaluate our depth2action framework on three large-scale action recognition video benchmarks.,OTHERS
10057,The method is referred to as the correlogram for undersampled data.,OTHERS
10188,Our new implementation is available at https://github.com/moberweger/deep-prior-pp .,OTHERS
10213,"After a long, productive discussion with Ana-Maria Popescu (one of the authors of PRECISE) we got more clarity on the PRECISE approach and how the lexicon was authored for the GEO evaluation.",OTHERS
10252,Our code will be made publicly available.,OTHERS
10302,This paper describes our initial contribution towards constructing such a benchmark.,OTHERS
10391,"We argue that, while spreadsheets can function as powerful models for stream operators, their fundamental boundedness limits their scope of application.",OTHERS
10416,We are members of the Astrophysics Source Code Library's Advisory Committee and its editor-in-chief.,OTHERS
10496,"Within this framework, two separately developed research areas are bridged together, and a batch of theoretically sound online cost-sensitive bagging and online cost-sensitive boosting algorithms are first proposed.",OTHERS
10583,Videos of our experiments can be viewed at http://robotpush.cs.uni-freiburg.de,OTHERS
10593,"Furthermore, AFEL-REC can cope with any kind of data that is present in social learning environments such as resource metadata, user interactions or social tags.",OTHERS
10609,"Researchers have extensively explored predictive control strategies for controlling heating, ventilation, and air conditioning (HVAC) units in commercial buildings.",OTHERS
10659,"Closure queries are a natural extension of membership queries and also a variant, appropriate in the context of definite Horn formulas, of the so-called correction queries.",OTHERS
10681,"Previous analysis followed a variational approach that is only valid for very simple cases (convex rewards, invertible dynamics, and no coupled constraints); or considered deterministic dynamics and provided open-loop (OL) analysis, studying strategies that consist in predefined action sequences, which are not optimal for stochastic environments.",OTHERS
10791,"Subsequently, we review social secret sharing (NSG'10,NS'10) and its trust function.",OTHERS
10825,Experimental results on several benchmark datasets demonstrate the effectiveness of the proposed approach.,OTHERS
10925,The system is publicly available at https://goo.gl/KdWAcV.,OTHERS
10926,This paper is under consideration for acceptance in TPLP.,OTHERS
11014,"In this paper, we reflect on the LensKit project, particularly on our experience using it for offline evaluation experiments, and describe the next-generation LKPY tools for enabling new offline evaluations and experiments with flexible, open-ended designs and well-tested evaluation primitives.",OTHERS
11057,These findings add to our understanding of economic diversification and also to our general understanding of diffusion in networks.,OTHERS
11067,Code and data will be released upon the paper acceptance.,OTHERS
11159,Consider two horizontal lines in the plane.,OTHERS
11160,A pair of a point on the top line and an interval on the bottom line defines a triangle between two lines.,OTHERS
11161,The intersection graph of such triangles is called a simple-triangle graph.,OTHERS
11205,These two algorithms illustrate different design methods: one makes use of existing network coding algorithms for error-free transmission and the other makes use of classical error-correcting codes.,OTHERS
11221,Weather conditions are supposed to be nearly clear and suitable for FSO communication while taking attenuation factor up to 10dB/Km.,OTHERS
11253,"To address the concerns mentioned above, we make two contributions.",OTHERS
11267,Query processing and optimization in the WSN is a very challenging task because of their energy and memory constraint.,OTHERS
11268,"In this paper, first our focus is to review the different approaches that have significant impacts on the development of query processing techniques for WSN.",OTHERS
11270,This paper describes the HASYv2 dataset.,OTHERS
11271,"HASY is a publicly available, free of charge dataset of single symbols similar to MNIST.",OTHERS
11272,It contains 168233 instances of 369 classes.,OTHERS
11273,HASY contains two challenges: A classification challenge with 10 pre-defined folds for 10-fold cross-validation and a verification challenge.,OTHERS
11282,We argue the utility of the corpus by comparing self-dialogues with standard two-party conversations as well as data from other corpora.,OTHERS
11332,"Inspired by the fact that 2D paintings often use vast space to paint background and small but detailed space for foreground, we claim that supporting a large canvas in varying detail is essential for 3D painting.",OTHERS
11379,"Keywords : Reinforcement learning, Machine learning, Real time strategy, Artificial intelligence.",OTHERS
11487,"In 5G cellular networks, the coverage dilemma is likely to remain the same, thus widening the rural-urban digital divide further.",OTHERS
11675,"However, every formal system can be outgrown, and mathematics should be formalised with a view that it will eventually migrate to a new formalism.",OTHERS
11810,The proposed algorithm is made publicly available at http://live.ece.utexas.edu/research/Quality/VideoATLAS release_v2.rar.,OTHERS
11877,The arena model has a number of appealing advantages.,OTHERS
11883,"Currently, the arena model is not effective in tracking the change of strengths of individuals, but its basic framework provides a solid foundation for future study of such cases.",OTHERS
12038,"The larger luminance range greatly improve the overall quality of visual content, making it appears much more realistic and appealing to observers.",OTHERS
12039,"HDR is one of the key technologies of the future imaging pipeline, which will change the way the digital visual content is represented and manipulated today.",OTHERS
12105,Two numerical instances are shown to illustrate the process of approach.,OTHERS
12116,The sparse controller is thereafter implemented using distributed communication.,OTHERS
12194,"Keywords: blind deconvolution, robust continuous optimization",OTHERS
12202,"Thus, conventional pole placement procedures cannot be used to design the delayed feedback controller parameters and place the unstable roots in the left half plane.",OTHERS
12272,"Specific instances elucidated under such framework are the GLM versions of approximate message passing (AMP), vector AMP (VAMP), and sparse Bayesian learning (SBL).",OTHERS
12326,"In spite of its importance, it is difficult for researchers to evaluate the domain primarily because of a considerable spread of relevant literature in interdisciplinary domains.",OTHERS
12327,Previous surveys of CDSS have examined the domain from the perspective of individual disciplines.,OTHERS
12328,"However, to the best of our knowledge, no visual scientometric survey of CDSS has previously been conducted which provides a broader spectrum of the domain with a horizon covering multiple disciplines.",OTHERS
12336,It is our belief that this paper will thus serve as an important role for researchers as well as clinical practitioners interested in identifying key literature and resources in the domain of clinical decision support.,OTHERS
12352,The method is validated experimentally on two academic examples.,OTHERS
12366,"Therefore, many grid-based search techniques were proposed to provide flexible methods for searching the distributed extensive data.",OTHERS
12396,This manuscript is under consideration for acceptance in TPLP.,OTHERS
12667,We are here motivated by tomographic inversion problems that often lead to linear inverse problems.,OTHERS
12770,Trends like digital transformation even intensify the already overwhelming mass of information knowledge workers face in their daily life.,OTHERS
12885,We also discuss important practical considerations and provide guidelines to implement adaptive pilot spacing in CA-OFDM systems.,OTHERS
12943,A sensitivity analysis by our proposed model confirms this fact.,OTHERS
13012,The source code is available at https://github.com/gmayday1997/ChangeDet.,OTHERS
13029,"Datasets, models and higher resolution images are available at https://ivi.fnwi.uva.nl/cv/retinet.",OTHERS
13162,An illustrative case study is included.,OTHERS
13232,In this note we provide the necessary and sufficient conditions to uniquely reconstruct an oncogenetic tree.,OTHERS
13251,We release an implementation of the proposed approach along with the acquired datasets with this paper.,OTHERS
13336,"These models include the symmetric SBM, the planted coloring model, and more exotic SBMs not previously studied.",OTHERS
13341,We also discuss and sketch future challenges a mature phasor-detective can possibly tackle by adding machine learning and physics modeling sophistication to the basic approach.,OTHERS
13498,A detailed video tutorial on the method is at http://goo.gl/qKb7pL and code is at http://goo.gl/RM8jvH.,OTHERS
13516,The challenges in these applications stem from the very low signal-to-noise ratio and the use of a single-dimensional measurement of the channel.,OTHERS
13602,This notion and its properties are of independent interest.,OTHERS
13655,"Finally, we draw other conclusions by discussing how well modeling dimensions were considered in these modeling methods and how well assurance dimensions were conveyed in requirements activities.",OTHERS
13661,We explore the design space for massive amount of Gaussian variable sampling tasks in BNNs.,OTHERS
13702,This lacuna is troubling as consumers have much control over the data being collected.,OTHERS
13727,Our work raises an important question: can one construct examples that are adversarial for many or most viewing conditions?,OTHERS
13728,"If so, the construction should offer very significant insights into the internal representation of patterns by deep networks.",OTHERS
13729,"If not, there is a good prospect that adversarial examples can be reduced to a curiosity with little practical impact.",OTHERS
13788,"For example, data miners can generate the models that are explored by optimizers.Also, optimizers can advise how to best adjust the control parameters of a data miner.",OTHERS
13816,"Unlike previous works, we do not consider particular aspects of visualization techniques, but their mechanisms and foundational vision perception.",OTHERS
13884,Users continuously engage and disengage in discussions with varying degrees of interaction leading to formation of distinct online communities.,OTHERS
14002,All details and resources about the dataset and baselines are released on http://zhuhao.me/fewrel.,OTHERS
14082,We consider a single-input multiple-output (SIMO) channel between the encoder-controller and the decoder-controller which is lossless and imposes random time delay.,OTHERS
14091,"We demonstrate the use of our method in domain adaptation, remeshing, and representation learning on synthetic and real data.",OTHERS
14112,We evaluate our method on several challenging indoors sequences demonstrating accurate SLAM and dense mapping of low texture environments.,OTHERS
14366,Not only does it make scientific reading simple and easy (by connecting the involved concepts used in the scientific articles to their Wikipedia explanations) but also improves the overall quality of the article.,OTHERS
14368,"One of the prime motivations for this work comes from the observation that, wikified abstracts of scientific documents help a reader to decide better, in comparison to the plain abstracts, whether (s)he would be interested to read the full article.",OTHERS
14414,Synthetic experiments validate our theoretical findings.,OTHERS
14498,This is desirable because high dimensional data usually have many different natural facets and can be meaningfully partitioned in multiple ways.,OTHERS
14503,Our Web search system is called the Treasure-Crawler.,OTHERS
14510,We the wards with the highest probability of successful cooperation with a clinical pharmacist.,OTHERS
14552,The non-counting invariance property of FG has a direct implication for VPDA too.,OTHERS
14556,"In this paper, we propose, t-PINE, a method that addresses these limitations.",OTHERS
14559,"We argue that the implicit and the explicit mapping from a higher-dimensional to a lower-dimensional vector space is the key to learn more useful, highly predictable, and gracefully interpretable representations.",OTHERS
14560,Having good interpretable representations provides a good guidance to understand how each view contributes to the representation learning process.,OTHERS
14561,"In addition, it helps us to exclude unrelated dimensions.",OTHERS
14690,The method is tested on a set of some more than five-hundred authors in a coauthor network from the CiteSeerX database.,OTHERS
14700,This dataset is different from prior datasets in several key ways.,OTHERS
