,Abstract,Task 1
112,We propose a method that combines signals from many brain regions observed in functional Magnetic Resonance Imaging (fMRI) to predict the subject's behavior during a scanning session.,OBJECTIVES
121,"In this work, we analyze how the world-wide varieties of written English are evolving.",OBJECTIVES
135,"In this paper, we propose RECS, a novel, stable graph embedding algorithmic framework.",OBJECTIVES
136,RECS learns graph representations using connection subgraphs by employing the analogy of graphs with electrical circuits.,OBJECTIVES/METHODS
141,In this paper we propose right-angled Artin groups as a platform for secret sharing schemes based on the efficiency (linear time) of the word problem.,OBJECTIVES
143,"Based on them, we also propose two new authentication schemes.",OBJECTIVES
147,"In order to uncover the differences in English scientific writing between native English-speaking scholars (NESs) and NNESs, we collected a large-scale data set containing more than 150,000 full-text articles published in PLoS between 2006 and 2015.",OBJECTIVES
153,In this paper we propose a generic axiomatic framework to capture all the intrinsic properties of a centrality measure (a.k.a. centrality index).,OBJECTIVES
166,"In this paper, we investigate the potential of social media in characterizing and understanding predominant drunk texters from the perspective of their social, psychological and linguistic behavior as evident from the content generated by them.",OBJECTIVES
167,Our research aims to analyze the behavior of drunk texters on social media and to contrast this with non-drunk texters.,OBJECTIVES
171,"In comparison to a backpropagation neural network, which requires setting of several user-defined parameters and may produce local minima, extreme learning machine require setting of one parameter and produce a unique solution.",BACKGROUND/OBJECTIVES/METHODS
172,ETM+ multispectral data set (England) was used to judge the suitability of extreme learning machine for remote sensing classifications.,OBJECTIVES
173,A back propagation neural network was used to compare its performance in term of classification accuracy and computational cost.,OBJECTIVES/METHODS
181,We design a new approach that allows robot learning of new activities from unlabeled human example videos.,OBJECTIVES
182,"Given videos of humans executing the same activity from a human's viewpoint (i.e., first-person videos), our objective is to make the robot learn the temporal structure of the activity as its future regression network, and learn to transfer such model for its own motor execution.",OBJECTIVES
187,We investigate the fundamental problem of adjusting sending rates to achieve optimal utilization of highly variable bandwidth of a network path using accurate packet rate information.,OBJECTIVES
196,"But, why is quality-in-use measurement difficult?",OBJECTIVES
197,"Although there are many software quality models, to the authors' knowledge no works survey the challenges related to software quality-in-use measurement.",OBJECTIVES
198,This article has two main contributions: 1) it identifies and explains major issues and challenges in measuring software quality in use in the context of the ISO SQuaRE series and related software quality models and highlights open research areas; and 2) it sheds light on a research direction that can be used to predict software quality in use.,OBJECTIVES
202,We present a dynamic approach to explaining type errors by generating counterexample witness inputs that illustrate how an ill-typed program goes wrong.,OBJECTIVES
213,"We consider the problem of extracting entropy by sparse transformations, namely functions with a small number of overall input-output dependencies.",OBJECTIVES
221,"In this paper, we are interested in situations for which several priors exist but we do not know in advance which one fits best the current situation.",OBJECTIVES
229,"First, we examine the weakness of conventional ""fixated"" models and demonstrate that training general models to handle arbitrary levels of corruption is indeed non-trivial.",OBJECTIVES
234,We first characterizethe solution of the peer-to-peer market as a Variational Equilibrium and prove that the set of Variational Equilibria coincides with the set of social welfare optimal solutions of market design (i).,OBJECTIVES/METHODS
235,We give several results that help understanding the structure of the trades at an equilibriumor at the optimum.,OBJECTIVES
236,We characterize the impact of preferences on the network line congestion and renewable energy waste under both designs.,OBJECTIVES/METHODS
242,We present an anytime procedure for approximate evaluation of probabilistic networks based on this idea.,OBJECTIVES
247,"In the current experiments, we considered the problem of extracting sentiment relations between entities for the whole documents as a three-class machine learning task.",OBJECTIVES
249,"This paper explores the idea that the universe is a virtual reality created by information processing, and relates this strange idea to the findings of modern physics about the physical world.",OBJECTIVES
260,"We propose that to generalise structural knowledge, the representations of the structure of the world, i.e. how entities in the world relate to each other, need to be separated from representations of the entities themselves.",OBJECTIVES/METHODS
267,"In this paper, we develop a design approach based on the minimization of error between spatial correlation function (SCF) of the compressive and the uncompressed array resulting in the estimation performance of the two arrays to be as close as possible.",OBJECTIVES
273,"While it is not fully possible to predict all the failures in the robot, failures can be reduced by employing certain design/usage considerations.",OBJECTIVES
275,This article presents the novel breakthrough general purpose algorithm for large scale optimization problems.,BACKGROUND/OBJECTIVES
276,The novel algorithm is capable of achieving breakthrough speeds for very large-scale optimization on general purpose laptops and embedded systems.,OBJECTIVES
282,This paper focuses on developing a spatiotemporal model to handle videos containing moving objects with rotation and scale changes.,OBJECTIVES
285,"We propose a mechanism that incorporates network coding into TCP with only minor changes to the protocol stack, thereby allowing incremental deployment.",OBJECTIVES/RESULTS
293,We report the results of a project to control the use of end user computing tools for business critical applications in a banking environment.,OBJECTIVES
296,In this work we have proposed a geometric model that is employed to devise a scheme for identifying the hotspots and zones in a chip.,OBJECTIVES
306,"In this paper, our goal is to isolate the truly effective existing ideas for incremental learning from those that only work under certain conditions.",OBJECTIVES
314,"In this paper we describe a new technique that combines policy gradient with off-policy Q-learning, drawing experience from a replay buffer.",OBJECTIVES
315,This is motivated by making a connection between the fixed points of the regularized policy gradient algorithm and the Q-values.,OBJECTIVES
316,"This connection allows us to estimate the Q-values from the action preferences of the policy, to which we apply Q-learning updates.",OBJECTIVES
318,"We also establish an equivalency between action-value fitting techniques and actor-critic algorithms, showing that regularized policy gradient techniques can be interpreted as advantage function learning algorithms.",OBJECTIVES
324,"Relations to modern studies on biological effects of weak electromagnetic emission, several areas of bioinformatics and theories of physical vacuum are discussed.",OBJECTIVES
326,"On this occasion, we examine the General Relativity and Quantum Cosmology (GRQC) field of research by analysing 38291 papers uploaded on the electronic archives arXiv.org from 2000 to 2012.",OBJECTIVES/METHODS
332,"We also study authors mobility, determining how some groups of authors spread worldwide with time in different countries.",OBJECTIVES
340,This tutorial paper fills the scientific gap by demonstrating the full closed-loop controller synthesis cycle using a steady-state surrogate model.,OBJECTIVES
346,The Parallel operator is rarely used despite its strong potential against other control architectures as Finite State Machines.,OBJECTIVES
347,This is due to the fact that concurrent actions may lead to unexpected problems similar to the ones experienced in concurrent programming.,OBJECTIVES
359,The paper focuses on the evaluation of topologies which are aware of the delays experienced between different peers on the network.,OBJECTIVES
365,To analyze intervention strategies we provide the first analytic determination of the critical value for basic bootstrap percolation in random graphs when the vertex thresholds are nonuniform and provide an efficient algorithm.,OBJECTIVES/CONCLUSIONS
366,"This result also helps solve the problem of ""Percolation with Coinflips"" when the infection process is not deterministic, which has been a criticism about the model.",OBJECTIVES
367,We also extend the results to clustered random graphs thereby extending the classes of graphs considered.,OBJECTIVES
376,"To better understand this development, we decompose the variance of the policy gradient estimator and numerically show that learned state-action-dependent baselines do not in fact reduce variance over a state-dependent baseline in commonly tested benchmark domains.",OBJECTIVES/METHODS/RESULTS
379,"Identifying the relations that exist between words (or entities) is important for various natural language processing tasks such as, relational search, noun-modifier classification and analogy detection.",BACKGROUND/OBJECTIVES
386,"We present a language independent, unsupervised method for building word embeddings using morphological expansion of text.",BACKGROUND/OBJECTIVES
387,Our model handles the problem of data sparsity and yields improved word embeddings by relying on training word embeddings on artificially generated sentences.,OBJECTIVES
392,"We discuss the contrasts and synergies of these efforts, highlighting how our work to build a RoboCup@Home Domestic Standard Platform League entry led us to identify an integrated software architecture that could support both projects.",OBJECTIVES
395,"In this letter, we propose a kernel embedding-based approach, ENCI, for nonstationary causal model inference where data are collected from multiple domains with varying distributions.",OBJECTIVES
397,"In this way, we are able to estimate the causal direction by exploiting the causal asymmetry of the transformed linear model.",OBJECTIVES/METHODS
398,"Furthermore, we extend ENCI to causal graph discovery for multiple variables by transforming the relations among them into a linear nongaussian acyclic model.",OBJECTIVES/METHODS
409,We present an adaptive JPEG encoder which defends against many of these attacks.,OBJECTIVES
414,We might hope to replace each variable by a lower-dimensional representation that preserves the relationship with the other variable.,OBJECTIVES
424,"Being able to recover latent and conditional vectors from a condi- tional GAN can be potentially valuable in various applications, ranging from image manipulation for entertaining purposes to diagnosis of the neural networks for security purposes.",OBJECTIVES
427,"Furthermore, the effect of such recovery applied on real natural images are investigated.",OBJECTIVES/METHODS
433,"In this paper, we develop a new method that estimates a query topic model from a set of pseudo-relevant documents using a new language modelling framework.",OBJECTIVES
437,"Current approaches, however, do not propagate the uncertainty in observations due to sampling variability in the groups.",OBJECTIVES
446,"In this paper, we present a data science approach to analyze job hops performed by about 490,000 working professionals located in a city using their publicly shared profiles.",OBJECTIVES
448,We also study how job hop behavior is related to job promotion/demotion.,OBJECTIVES
449,"Finally, we perform network analyses at the job and organization levels in order to derive insights on talent flow as well as job and organizational competitiveness.",OBJECTIVES
450,"This paper presents iterative Sequential Action Control (iSAC), a receding horizon approach for control of nonlinear systems.",OBJECTIVES
453,The effect of asymptotically decaying disturbances on system trajectories is also examined.,OBJECTIVES
454,"To demonstrate the applicability of iSAC to a variety of systems and conditions, we employ five different systems, including a 13-dimensional quaternion-based quadrotor.",OBJECTIVES
455,"Each system is tested in different scenarios, ranging from feasible and infeasible trajectory tracking, to setpoint stabilization, with or without the presence of external disturbances.",OBJECTIVES
456,"Finally, limitations of this work are discussed.",OBJECTIVES
457,"We consider a compressed sensing problem in which both the measurement and the sparsifying systems are assumed to be frames (not necessarily tight) of the underlying Hilbert space of signals, which may be finite or infinite dimensional.",BACKGROUND/OBJECTIVES
460,"This general framework finds applications to inverse problems in partial differential equations, where the standard assumptions of compressed sensing are often not satisfied.",OBJECTIVES
465,"In this paper, we present a fuzzy-based approach for analyzing the well being of a person.",OBJECTIVES/METHODS
471,"In this work, we present a general purpose algorithm that excels at evaluating deterministic behavior of micrometer-sized objects.",OBJECTIVES
472,Our concrete application is the tracking of fast moving objects over large distances along deterministic trajectories in a microscopic video.,OBJECTIVES
473,"Thereby, we are able to determine characteristic properties of the objects.",OBJECTIVES
479,"Following the recent developments in inductive semantic stochastic methods, this paper studies the feasibility of using information gathered from the semantic neighborhood to decide when to stop the search.",OBJECTIVES
498,"In this paper, we show that these physical adversarial stop signs do not fool two standard detectors (YOLO and Faster RCNN) in standard configuration.",OBJECTIVES
502,Whether an adversarial attack is robust under rescaling and change of view direction remains moot.,OBJECTIVES
503,"We argue that attacking a classifier is very different from attacking a detector, and that the structure of detectors - which must search for their own bounding box, and which cannot estimate that box very accurately - likely makes it difficult to make adversarial patterns.",OBJECTIVES
515,The majority of existing perioperative AKI risk score prediction models are limited in their generalizability and do not fully utilize the physiological intraoperative time-series data.,BACKGROUND/OBJECTIVES
516,"Thus, there is a need for intelligent, accurate, and robust systems, able to leverage information from large-scale data to predict patient's risk of developing postoperative AKI.",OBJECTIVES
526,This paper proposes a new autonomic complementary approach for smart cities management.,OBJECTIVES
531,"As ML continues to percolate into daily life, we, as computer scientists and machine learning researchers, are responsible for ensuring we clearly convey the extent of our work and the humanity of our models.",OBJECTIVES
535,"In this paper, an unsupervised clustering-based (UC-based) solar forecasting methodology is developed for short-term (1-hour-ahead) global horizontal irradiance (GHI) forecasting.",OBJECTIVES
545,"We show that when the number of the Attacker's resources is free, the problem of computing the equilibrium path is NP-hard, while when the number of resources is fixed, the equilibrium path can be computed in poly-time.",OBJECTIVES/RESULTS
547,"Furthermore, since in real-world scenarios it is implausible that the Defender knows the number of attacking resources, we study the robustness of the Defender's strategy when she makes a wrong guess about that number.",BACKGROUND/OBJECTIVES
550,"Then, we investigate the performance of online algorithms when no information about the Attacker's resources is available.",OBJECTIVES
555,"There have been many approaches that have used some variety of formal specification or formal verification in autonomous robotics, but there is no resource that collates this activity in to one place.",OBJECTIVES
556,This paper systematically surveys the state-of-the art in specification formalisms and tools for verifying robotic systems.,OBJECTIVES/METHODS
558,"This paper presents a multi-contact approach to generalized humanoid fall mitigation planning that unifies inertial shaping, protective stepping, and hand contact strategies.",BACKGROUND/OBJECTIVES
568,"This in turn often results in packet drops, which may cause information loss, and this condition may lead to algorithm failing to converge.",BACKGROUND/OBJECTIVES
569,"To prevent this failure, we propose least square (LS) estimation algorithm to recover the missing information when packets are dropped from the network.",OBJECTIVES/METHODS
571,We propose a method to perform audio event detection under the common constraint that only limited training data are available.,OBJECTIVES
579,We propose a depth-aware gating module that adaptively selects the pooling field size in a convolutional network architecture according to the object scale (inversely proportional to the depth) so that small details are preserved for distant objects while larger receptive fields are used for those nearby.,OBJECTIVES/METHODS
588,We suggest new branching criteria and propose alternative branching approaches called narrow gauge and analytical branching.,OBJECTIVES
589,"The perspective underlying our approaches is to focus on prioritization of child nodes to examine fewer candidate variables at the current node of the B&B tree, balanced with procedures to extrapolate the implications of choosing these candidates by generating a small-depth look-ahead tree.",OBJECTIVES/METHODS
592,We present a proof procedure for univariate real polynomial problems in Isabelle/HOL.,OBJECTIVES
597,"In this report, we present our findings from benchmarking experiments for information extraction on historical handwritten marriage records Esposalles from IEHHR - ICDAR 2017 robust reading competition.",OBJECTIVES
598,The information extraction is modeled as semantic labeling of the sequence across 2 set of labels.,OBJECTIVES/METHODS
609,"We redefine OLAP queries, in order to move to higher degrees of abstraction from roll-up's and drill-down's, and we propose a set of novel intentional OLAP operators, namely, describe, assess, explain, predict, and suggest, which express the user's need for results.",OBJECTIVES/METHODS
618,First is the conventionally-tackled resource optimization problem which triggers the drainage of battery at a faster rate within a network.,OBJECTIVES
629,"In this work, we propose a novel deep learning framework, called a nested sparse network, which exploits an n-in-1-type nested structure in a neural network.",OBJECTIVES/METHODS
635,"We present a quasi-experiment to investigate whether, and to what extent, sleep deprivation impacts the performance of novice software developers using the agile practice of test-first development (TFD).",OBJECTIVES/METHODS
652,"In this work, we propose Strongly Hierarchical Factorization Machines and ANOVA kernel regression where all the three issues can be addressed without making the optimization problem more difficult.",OBJECTIVES
668,"This paper describes a set of neural network architectures, called Prediction Neural Networks Set (PNNS), based on both fully-connected and convolutional neural networks, for intra image prediction.",OBJECTIVES
675,"We discuss several new results on nonnegative approximate controllability for the one-dimensional Heat equation governed by either multiplicative or nonnegative additive control, acting within a proper subset of the space domain at every moment of time.",OBJECTIVES
682,"We propose in this work a deep framework designed to handle crucial aspects of measures, namely permutation invariances, variations in weights and cardinality.",OBJECTIVES
683,Architectures derived from this pipeline can (i) map measures to measures - using the concept of push-forward operators; (ii) bridge the gap between measures and Euclidean spaces - through integration steps.,OBJECTIVES/METHODS
684,"This allows to design discriminative networks (to classify or reduce the dimensionality of input measures), generative architectures (to synthesize measures) and recurrent pipelines (to predict measure dynamics).",OBJECTIVES/RESULTS
685,"We provide a theoretical analysis of these building blocks, review our architectures' approximation abilities and robustness w.r.t. perturbation, and try them on various discriminative and generative tasks.",OBJECTIVES/RESULTS
689,"Thus, they are of low accuracy and developers cannot directly copy them into their projects without adjustments.",BACKGROUND/OBJECTIVES
690,We present the Accurate REcommendation System (ARES) that achieves a higher accuracy than other tools because its algorithms take care of code movements when creating patterns and recommendations.,OBJECTIVES/METHODS/CONCLUSIONS
695,"In this paper, we present the Semantic Web-Based model for our e-learning system taking into account the learning environment at Saudi Arabian universities.",OBJECTIVES
699,"Artificial intelligence (AI) has achieved superhuman performance in a growing number of tasks, but understanding and explaining AI remain challenging.",BACKGROUND/OBJECTIVES
700,This paper clarifies the connections between machine-learning algorithms to develop AIs and the econometrics of dynamic structural models through the case studies of three famous game AIs.,OBJECTIVES/METHODS
706,We propose an unsupervised version of domain adaptation that considers the presence of only unlabelled data in the target domain.,OBJECTIVES
714,"Here, we present various benchmarks for GPU-based code implementations of both VESTA and the current state-of-the-art Marching Cubes Algorithm (MCA).",OBJECTIVES
718,"This paper hence proposes a novel rigid geometric similarity metric, which is able to measure both the full similarity and the partial similarity between arbitrary geometric models.",OBJECTIVES
719,The proposed metric enables us to perform partial procedural geometric model fitting (PPGMF).,OBJECTIVES
731,"We propose BANDANA, the first-ever implicit secure device-to-device authentication scheme for devices worn on the same body.",OBJECTIVES
737,"As a rising research field, short text topic modeling presents a new and complementary algorithmic methodology to supplement regular text topic modeling, especially targets to limited word co-occurrence information in short texts.",OBJECTIVES
742,"On this basis, the concept of vague partition is introduced, further, the concept of fuzzy set introduced by Zadeh in 1965 is redefined based on vague partition from the perspective of axiomatization.",OBJECTIVES
745,"We propose a generic construction with explicit generator and Gram matrices, then focus on modular and unimodular lattices, obtained in the particular cases of totally real, respectively, imaginary, quadratic fields.",OBJECTIVES/RESULTS
746,"Our motivation comes from coding theory, thus some relevant properties of modular lattices, such as minimal norm, theta series, kissing number and secrecy gain are analyzed.",OBJECTIVES
750,Our insight is to model the forecasting problem at a higher level of abstraction.,OBJECTIVES/METHODS
756,Objective: Predict patient-specific vitals deemed medically acceptable for discharge from a pediatric intensive care unit (ICU).,OBJECTIVES
771,"Such a request could be inefficient, that is, considering that the labelers may not be experts, that way to proceed could fail to take real advantage of the knowledge of the labelers.",OBJECTIVES
773,"The main hypothesis is that, by allowing candidate labeling, knowledge can be extracted from the labelers more efficiently by than in the standard crowd learning scenario.",OBJECTIVES
776,"However, its good generalization ability is built on large numbers of hidden neurons, which is not beneficial to real time response in the test process.",BACKGROUND/OBJECTIVES
777,"In this paper, we proposed new ways, named ""constrained extreme learning machines"" (CELMs), to randomly select hidden neurons based on sample distribution.",OBJECTIVES/METHODS
785,The major aim of this survey is to identify the strengths and weaknesses of a representative set of Data-Mining and Integration (DMI) query languages.,OBJECTIVES
790,In this paper we describe the overall idea and results of a recently proposed radio access technique based on filter bank multicarrier (FBMC) communication system using two orthogonal polarizations: dual-polarization FBMC (DP-FBMC).,BACKGROUND/OBJECTIVES/METHODS
794,"For DP-FBMC we propose three different structures based on different multiplexing techniques in time, frequency, and polarization.",OBJECTIVES/METHODS
802,But creating realistic virtual worlds is not easy.,OBJECTIVES
803,"The game industry, however, has spent a lot of effort creating 3D worlds, which a player can interact with.",OBJECTIVES
804,"So researchers can build on these resources to create virtual worlds, provided we can access and modify the internal data structures of the games.",OBJECTIVES
812,In this paper we present a new and simple language-independent method for word-alignment based on the use of external sources of bilingual information such as machine translation systems.,OBJECTIVES
816,"Conventionally, Selective Harmonic Elimination (SHE) method in 2-level inverters, finds best switching angles to reach first voltage harmonic to reference level and eliminate other harmonics, simultaneously.",BACKGROUND/OBJECTIVES
817,"Considering Induction Motor (IM) as the inverter load, and wide DC bus voltage variations, the inverter must operate in both over-modulation and linear modulation region.",OBJECTIVES
818,Main objective of the modified SHE is to reduce harmonic torques through finding the best switching angles.,OBJECTIVES
825,"Since that time, vulnerabilities have evolved along with systems, and several new threat vectors have consequently appeared.",BACKGROUND/OBJECTIVES
828,Analyzing videos of human actions involves understanding the temporal relationships among video frames.,OBJECTIVES
831,"In this paper, we present a novel CNN architecture that implicitly captures motion information between adjacent frames.",OBJECTIVES
832,We name our approach hidden two-stream CNNs because it only takes raw video frames as input and directly predicts action classes without explicitly computing optical flow.,OBJECTIVES
836,"Objective: We aim at understanding the perceptions of and attitudes towards peer review of authors and reviewers at one of software engineering's most prestigious venues, the International Conference on Software Engineering (ICSE).",OBJECTIVES
845,"We present a method to handle sparse depth data with optional dense RGB, and accomplish depth completion and semantic segmentation changing only the last layer.",OBJECTIVES
849,We present Shrinking Horizon Model Predictive Control (SHMPC) for discrete-time linear systems with Signal Temporal Logic (STL) specification constraints under stochastic disturbances.,OBJECTIVES/METHODS
850,The control objective is to maximize an optimization function under the restriction that a given STL specification is satisfied with high probability against stochastic uncertainties.,OBJECTIVES
857,"In this paper, we present a tool aimed at supporting application testers and developers in the process of On-Device Bug Reporting.",OBJECTIVES
863,"Here, we further examine this hypothesis and demonstrate a technique for ""morphological innovation protection"", which temporarily reduces selection pressure on recently morphologically-changed individuals, thus enabling evolution some time to ""readapt"" to the new morphology with subsequent control policy mutations.",OBJECTIVES
866,We propose a new design for a cellular neural network with spintronic neurons and CMOS-based synapses.,OBJECTIVES
871,"However, this is difficult because an imperfect dynamics model can degrade the performance of the learning algorithm, and in sufficiently complex environments, the dynamics model will almost always be imperfect.",OBJECTIVES
872,"As a result, a key challenge is to combine model-based approaches with model-free learning in such a way that errors in the model do not degrade performance.",OBJECTIVES
879,"Conventional encryption algorithms are generally computationally expensive due to their complexity and requires many rounds to encrypt, essentially wasting the constrained energy of the gadgets.",BACKGROUND/OBJECTIVES
881,In this paper we propose a lightweight encryption algorithm named as Secure IoT (SIT).,OBJECTIVES/METHODS
890,"To tackle the challenges, many existing works exploit various features, from a network perspective, to detect and mitigate fake news.",OBJECTIVES
891,"In essence, news dissemination ecosystem involves three dimensions on social media, i.e., a content dimension, a social dimension, and a temporal dimension.",OBJECTIVES
903,"In this work, we propose the Event-Related Potential Encoder Network (ERPENet); a semi-supervised autoencoder-based model, that can be applied to any ERP-related tasks.",OBJECTIVES
904,"The strength of ERPENet lies in its capability to handle various datasets across multiple recording setups, enabling joint training across datasets, thereby increasing the amount of training data.",OBJECTIVES/METHODS
912,"The ConditionaL Neural Network (CLNN) is designed to consider the relational properties across frames in a temporal signal, and its extension the Masked ConditionaL Neural Network (MCLNN) embeds a filterbank behavior within the network, which enforces the network to learn in frequency bands rather than bins.",OBJECTIVES/METHODS
919,"In this context, the problem of learning a two-layer ReLU network is approached in a binary classification setting, where the data are linearly separable and a hinge loss criterion is adopted.",BACKGROUND/OBJECTIVES
920,"Leveraging the power of random noise, this contribution presents a novel stochastic gradient descent (SGD) algorithm, which can provably train any single-hidden-layer ReLU network to attain global optimality, despite the presence of infinitely many bad local minima and saddle points in general.",OBJECTIVES/METHODS
921,"This result is the first of its kind, requiring no assumptions on the data distribution, training/network size, or initialization.",OBJECTIVES/RESULTS
929,"Here, we propose `MagBook', `phasebook', and `Combook', three new types of layers based on discrete representations that can be used to estimate complex time-frequency masks.",OBJECTIVES/METHODS
939,"In this work, by conducting a qualitative experimental study with 40 software developers, we attempted to understand the programmer's perception on who is responsible for ensuring end-users' security of the applications they develop.",OBJECTIVES/METHODS
945,"We propose DBSCAN++, a simple modification of DBSCAN which only requires computing the densities for a chosen subset of points.",OBJECTIVES
946,"We show empirically that, compared to traditional DBSCAN, DBSCAN++ can provide not only competitive performance but also added robustness in the bandwidth hyperparameter while taking a fraction of the runtime.",OBJECTIVES/RESULTS
947,We also present statistical consistency guarantees showing the trade-off between computational cost and estimation rates.,OBJECTIVES/RESULTS
950,"In this paper, we offer contributions in both these areas to enable similar progress in audio modeling.",OBJECTIVES
957,"However, scientific and engineering problems have their own unique characteristics and requirements raising new challenges for effective design and deployment of machine learning approaches.",OBJECTIVES
958,There is a strong need for further mathematical developments on the foundations of machine learning methods to increase the level of rigor of employed methods and to ensure more reliable and interpretable results.,OBJECTIVES
960,"Consequently, even for existing and widely used methods there is a strong need for further mathematical work to facilitate ways to incorporate prior scientific knowledge and related inductive biases into learning frameworks and algorithms.",OBJECTIVES
961,We briefly discuss these topics and discuss some ideas proceeding in this direction.,OBJECTIVES
962,"In this paper, we present a set of simulation models to more realistically mimic the behaviour of users reading messages.",OBJECTIVES
969,"The proposed DenseNMT not only allows dense connection in creating new features for both encoder and decoder, but also uses the dense attention structure to improve attention quality.",OBJECTIVES/METHODS/RESULTS
973,"Unlike audio event detection, automatic audio tagging, a multi-label acoustic event classification task, only relies on weakly labeled data.",BACKGROUND/OBJECTIVES
975,In this paper we propose to use a fully deep neural network (DNN) framework to handle the multi-label classification task in a regression way.,OBJECTIVES
977,"The fully DNN, which is regarded as an encoding function, can well map the audio features sequence to a multi-tag vector.",OBJECTIVES/METHODS
982,"In this paper a secret message/image transmission technique has been proposed through (2, 2) visual cryptographic share which is non-interpretable in general.",BACKGROUND/OBJECTIVES
987,"We illustrate how elementary information-theoretic ideas may be employed to provide proofs for well-known, nontrivial results in number theory.",OBJECTIVES
993,"In this work, we study the LWE problem on group rings, and build cryptographic schemes based on this new primitive.",OBJECTIVES
996,"This paper addresses the general problem of blind echo retrieval, i.e., given M sensors measuring in the discrete-time domain M mixtures of K delayed and attenuated copies of an unknown source signal, can the echo locations and weights be recovered?",BACKGROUND/OBJECTIVES
1006,"In this two-part paper, we provide analyses of bandwidth over which power transfer is possible.",OBJECTIVES
1027,"In particular, how far can we push locality, and what is, at the scale of the Internet, the reduction of traffic that can be achieved with locality?",OBJECTIVES
1033,The design of a flight trajectory recreation and playback system is presented in this paper.,OBJECTIVES
1048,This paper introduces and studies the notions of strong 2.t and strong 3.t transformations in determining when two ternary words are strongly M-equivalent.,OBJECTIVES/METHODS/RESULTS
1052,"We present KeystoneML, a system that captures and optimizes the end-to-end large-scale machine learning applications for high-throughput training in a distributed environment with a high-level API.",OBJECTIVES
1053,This approach offers increased ease of use and higher performance over existing systems for large scale learning.,OBJECTIVES
1056,"This paper presents an interconnected control-planning strategy for redundant manipulators, subject to system and environmental constraints.",OBJECTIVES
1062,We study the unsupervised learning of CNNs for optical flow estimation using proxy ground truth data.,OBJECTIVES
1069,We propose an effective Hybrid Deep Learning (HDL) architecture for the task of determining the probability that a questioned handwritten word has been written by a known writer.,OBJECTIVES
1075,"We show how faceted search using a combination of traditional classification systems and mixed-membership topic models can go beyond keyword search to inform resource discovery, hypothesis formulation, and argument extraction for interdisciplinary research.",OBJECTIVES/METHODS
1078,We provide a case study for the application of the methods to the problem of identifying and extracting arguments about anthropomorphism during a critical period in the development of comparative psychology.,OBJECTIVES/METHODS
1079,We show how a combination of classification systems and mixed-membership models trained over large digital libraries can inform resource discovery in this domain.,OBJECTIVES/METHODS
1087,"In this work, we attempt to understand the consequences of cascade tripping mechanism through a Lyapunov approach.",OBJECTIVES
1092,One central issue of deep learning is the limited capacity to handle joint upsampling.,OBJECTIVES
