,Abstract,Task 1
557,"Specifically, it describes the challenges arising from autonomy and software architectures, avoiding low-level hardware control and is subsequently identifies approaches for the specification and verification of robotic systems, while avoiding more general approaches.",RESULTS/CONCLUSIONS
564,Experiments demonstrate show that our proposed algorithm can generate complex stabilization strategies for a simulated robot under varying initial pushes and environment shapes.,CONCLUSIONS
570,The simulation results involving several scenarios demonstrate that LS estimation can provide the convergence for feedback mechanism based algorithm.,RESULTS/CONCLUSIONS
585,We find that gated pooling for joint semantic segmentation and depth yields state-of-the-art results for quantitative monocular depth estimation.,CONCLUSIONS
596,"We present experiments demonstrating the efficacy of this approach, in many cases yielding orders of magnitude improvements over previous methods.",RESULTS/CONCLUSIONS
625,Our proposed framework offers a handy algorithm that enjoys desirable complexity for real-time applications as shown by the extensive simulation results.,RESULTS/CONCLUSIONS
634,"We evaluate our network in multiple tasks, including adaptive deep compression, knowledge distillation, and learning class hierarchy, and demonstrate that nested sparse networks perform competitively, but more efficiently, compared to existing methods.",RESULTS/CONCLUSIONS
641,Our results also show that sleep-deprived developers make more fixes to syntactic mistakes in the source code.,RESULTS/CONCLUSIONS
642,We conclude that sleep deprivation has possibly disruptive effects on software development activities.,CONCLUSIONS
674,"Unlike the H.265 intra prediction modes, which are each specialized in predicting a specific texture, the proposed PNNS can model a large set of complex textures.",CONCLUSIONS
690,We present the Accurate REcommendation System (ARES) that achieves a higher accuracy than other tools because its algorithms take care of code movements when creating patterns and recommendations.,OBJECTIVES/METHODS/CONCLUSIONS
694,The term Semantic Web covers the steps to create a new WWW architecture that augments the content with formal semantics enabling better possibilities of navigation through the cyberspace and its contents.,CONCLUSIONS
703,Relaxing these AIs' implicit econometric assumptions would improve their structural interpretability.,RESULTS/CONCLUSIONS
712,Results validated that the proposed local sample-to-sample matching method out-performs traditional moment-matching methods and is competitive with respect to current local domain-adaptation methods.,CONCLUSIONS
733,It enables secure spontaneous pairing of devices worn on the same body or interacted with.,CONCLUSIONS
734,The method is robust against noise in sensor readings and active attackers.,CONCLUSIONS
740,STTM is open-sourced at https://github.com/qiang2100/STTM.,CONCLUSIONS
755,We show through quantitative and qualitative evaluation that our method outperforms state-of-the-art methods for video prediction.,RESULTS/CONCLUSIONS
766,"Conclusion: PICU patients are a unique subset of the general population, and general age-normal vitals may not be suitable as target values indicating physiologic stability at discharge.",CONCLUSIONS
767,Age-normal vitals that were specifically derived from the medical-to-physical discharge window of ICU patients may be more appropriate targets for 'acceptable' physiologic state for critical care patients.,CONCLUSIONS
768,"Going beyond simple age bins, an RNN model can provide more personalized target values.",CONCLUSIONS
774,Empirical evidence which supports that hypothesis is presented.,CONCLUSIONS
779,"The experimental results show that the CELMs have better generalization ability than traditional ELM, SVM and some other related methods.",RESULTS/CONCLUSIONS
780,"Additionally, the CELMs have a similar fast learning speed as ELM.",RESULTS/CONCLUSIONS
789,"This survey may help researchers to propose a DMI language that is beyond the state-of-the-art, or it may help practitioners to select an existing language that fits well a purpose.",CONCLUSIONS
797,"Based on these results, DP-FBMC has potential as a promising candidate for future wireless communication systems.",CONCLUSIONS
811,"In this paper, we present an optical-flow based framework for image interpolation that also minimizes resultant divergence in the interpolated data.",CONCLUSIONS
815,"Furthermore, the results obtained indicate that the training is domain-independent, which enables the use of the trained aligner 'on the fly' on any new pair of sentences.",CONCLUSIONS
823,Simulation results are presented under a wide range of working conditions in an induction motor to demonstrate the effectiveness of the proposed method.,CONCLUSIONS
827,"One of the general principles of security is that vulnerabilities, once fixed, sometimes do not stay that way.",CONCLUSIONS
839,Conclusion: The perception of the current state of software engineering peer review is fairly negative.,CONCLUSIONS
840,"Also, we found hardly any trend that suggests reviewing will improve by itself over time; the community will have to make explicit efforts.",CONCLUSIONS
841,"Fortunately, our (mostly senior) respondents appear more open for trying different peer reviewing regimes than we had expected.",CONCLUSIONS
865,"While this technique is admittedly only the first of many steps that must be taken to achieve scalable optimization of embodied machines, we hope that theoretical insight into the cause of evolutionary stagnation in current methods will help to enable the automation of robot design and behavioral training -- while simultaneously providing a testbed to investigate the theory of embodied cognition.",CONCLUSIONS
884,Simulations result shows the algorithm provides substantial security in just five encryption rounds.,RESULTS/CONCLUSIONS
900,Our results demonstrate that deep feature representation learning on source code is a promising approach for automated software vulnerability detection.,CONCLUSIONS
910,"ERPENet significantly outperforms Xdawn, achieving 79.37% - 88.52% accuracy, depending on the dataset.",RESULTS/CONCLUSIONS
915,The MCLNN achieved competitive accuracies compared to state-of-the-art convolutional neural networks and hand-crafted attempts.,RESULTS/CONCLUSIONS
924,These guarantees highlight a fundamental difference (at least in the worst case) between learning a ReLU network as well as a leaky ReLU network in terms of sample complexity.,RESULTS/CONCLUSIONS
935,"We evaluate the proposed methods on the wsj0-2mix dataset, a well-studied corpus for single-channel speaker-independent speaker separation, matching the performance of state-of-the-art mask-based approaches without requiring additional phase reconstruction steps.",RESULTS/CONCLUSIONS
942,"We believe these results would change the current view on the role that different stakeholders of the software development process (i.e. researchers, security experts, programmers and Application Programming Interface (API) developers) have to play in order to ensure the security of software applications.",CONCLUSIONS
953,"Using NSynth, we demonstrate improved qualitative and quantitative performance of the WaveNet autoencoder over a well-tuned spectral autoencoder baseline.",RESULTS/CONCLUSIONS
954,"Finally, we show that the model learns a manifold of embeddings that allows for morphing between instruments, meaningfully interpolating in timbre to create new types of sounds that are realistic and expressive.",RESULTS/CONCLUSIONS
970,Our experiments on multiple datasets show that DenseNMT structure is more competitive and efficient.,RESULTS/CONCLUSIONS
981,The results show that our approach obtained a 15% relative improvement compared with the official GMM-based method of DCASE 2016 challenge.,RESULTS/CONCLUSIONS
1041,This paper provides a more intuitive way for recreation of flight trajectory.,CONCLUSIONS
1042,The cost is decreased remarkably and security is ensured by secondary development on open-source platform.,CONCLUSIONS
1061,"Through experimental results with a 7 DOF manipulator, we demonstrate the performance of the method in real-world scenarios.",CONCLUSIONS
1074,"Our results indicate that HDL architecture with AE-GSC achieves 99.7% accuracy on seen writer dataset and 92.16% accuracy on shuffled writer dataset which out performs CEDAR-FOX, as for unseen writer dataset, AE-SIFT performs comparable to this sophisticated handwriting comparison tool.",RESULTS/CONCLUSIONS
1077,The methods can be generalized to other research areas and ultimately support a system for semi-automatic identification of argument structures.,CONCLUSIONS
1083,The multilevel approach advances understanding of the intellectual and societal contexts in which writings are interpreted.,CONCLUSIONS
1107,The ClosestPA algorithm is shown to consistently outperform the other two in a variety of ways and insights are provided as to why this is the case.,RESULTS/CONCLUSIONS
1135,"We prove that, within a certain regime, the untargeted FGSM can fool any convolutional neural nets (CNNs) with ReLU activation; the targeted FGSM can mislead any CNNs with ReLU activation to classify any given image into any prescribed class.",RESULTS/CONCLUSIONS
1136,"For a special two-layer neural network: a linear layer followed by the softmax output activation, we show that the CW-L2 attack increases the ratio of the classification probability between the target and ground truth classes.",RESULTS/CONCLUSIONS
1141,The internal structure of Manuscript is considered.,CONCLUSIONS
1156,Empirical studies show that R2-CNN could achieve the fastest detection speed with comparable accuracy among all the compared algorithms in testing.,RESULTS/CONCLUSIONS
1170,This study will be useful for coverage analysis of WSN.,CONCLUSIONS
1171,"We present a novel control policy, called Predictive Network Control (PNC) to control wireless communication networks (on packet level), based on paradigms of Model Predictive Control (MPC).",OBJECTIVES/METHODS/CONCLUSIONS
1177,"Firstly, a formal definition of implementation of a hybrid control system is provided, based on the uniqueness of the solutions.",METHODS/RESULTS/CONCLUSIONS
1179,"A new concept of strong robustness is proposed, which guarantees that at least jumping-first and flowing-first implementations are robust when the hybrid control system is strongly robust.",RESULTS/CONCLUSIONS
1180,"In addition, we provide a sufficient condition for strong robustness based on the previously developed hybrid relaxation results.",RESULTS/CONCLUSIONS
1187,"In this context we show that when weights are dynamically assigned to ties in the network an heterogeneous distribution is able to hamper the diffusion of the disease, contrary to what happens when weights are fixed in time.",CONCLUSIONS
1196,Empirical results in the SMT literature are shown to support the hypothesis that a few linguistic facts can be very useful to anticipate the reordering characteristics of a language pair and to select the SMT framework that best suits them.,CONCLUSIONS
1201,"Finally, we describe the effect of maximizing the input as well as the output margin to achieve an input noise-robust deep architecture.",CONCLUSIONS
1216,"We give an efficient algorithm to turn any tiling into one satisfying the condition, and discuss its applications in texturing.",CONCLUSIONS
1223,This suggests that a combination of gradient descent and evolutionary strategies directly favouring the minority models that developed more compositional approaches might suffice to lead standard RNNs towards compositional solutions.,CONCLUSIONS
1237,"This paper proposes novel classification and regression fusion models that can be trained given ambiguosly and imprecisely labeled training data in which training labels are associated with sets of data points (i.e., ""bags"") instead of individual data points (i.e., ""instances"") following a multiple instance learning framework.",OBJECTIVES/CONCLUSIONS
1239,The proposed algorithms show effective classification and regression performance.,RESULTS/CONCLUSIONS
1243,"As a consequence, our routines enable genome studies of unprecedented size.",CONCLUSIONS
1263,Our results can guide researchers and engineers in the choice of optimal strategy.,CONCLUSIONS
1264,"They show that non-linear multivariate techniques yield reproducible results, outperforming lin- ear approaches.",RESULTS/CONCLUSIONS
1267,"We confirm, on a much wider basis, the advantages of dynamic approaches with respect to static ones that only rely on instantaneous sensor array response.",CONCLUSIONS
1279,We hope that the paper together with the benchmark will be an important step towards solving a challenging vector-graphics reconstruction problem.,CONCLUSIONS
1288,"To our knowledge, our work introduces the first computationally efficient algorithm for double-sparse coding that enjoys rigorous statistical guarantees.",CONCLUSIONS
1289,"Finally, we support our analysis via several numerical experiments on simulated data, confirming that our method can indeed be useful in problem sizes encountered in practical applications.",CONCLUSIONS
1295,"In this paper, we discuss how automated planning techniques can be leveraged to enable new levels of automation and support for business processing, and we show some concrete examples of their successful application to the different stages of the BPM life cycle.",OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
1309,We show that Staircase codes always outperform classical secret sharing codes.,RESULTS/CONCLUSIONS
1332,Experiments were performed in a high fidelity simulated robotics environment and results have demonstrated the capability of the model on dealing with both salient stimuli and goal-driven attention over multiple features extracted from multiple sensors.,METHODS/RESULTS/CONCLUSIONS
1345,We develop a low-cost acoustic board custom-designed to support large operational ranges and extensibility.,OBJECTIVES/CONCLUSIONS
1348,The proposed system achieves average and 95% quantile localization errors of 7.4cm and 16.0cm in the first testbed with 8 anchor nodes and average and 95% quantile localization errors of 20.4cm and 40.0cm in the second testbed with 4 anchor nodes only.,RESULTS/CONCLUSIONS
1363,The analytical performance proves better performance than the conventional new-call bounding scheme in case of higher and lower traffic arrival rate.,CONCLUSIONS
1378,"We applied our technique on over 100 different versions of two widely adopted open- source systems, and found that it can accurately uncover the architectural design decisions embodied in the systems.",RESULTS/CONCLUSIONS
1393,"This highlights a novel, ranking-driven channel that explains the diffusion of misinformation, as websites reporting incorrect information may attract an amplified amount of traffic precisely because they are few.",RESULTS/CONCLUSIONS
1394,"Furthermore, when individuals provide sufficiently positive feedback to the ranking algorithm, popularity-based rankings tend to aggregate information while personalization acts in the opposite direction.",RESULTS/CONCLUSIONS
1404,"We conclude that, when scientists have full information and are making unbiased choices, expert opinion on impact is congruent with citation numbers.",CONCLUSIONS
1415,Simulations show that the formation changing is made without collision.,RESULTS/CONCLUSIONS
1416,"The time complexity analysis of the transformation algorithm reveals that its efficiency is optimal, and the proof of correction ensures its longitudinal formation features.",RESULTS/CONCLUSIONS
1423,We show that the nominal resolution necessary for the grid-free results can be improved if prior information is suitably employed.,CONCLUSIONS
1424,"We present a Polyhedral Scene Generator system which creates a random scene based on a few user parameters, renders the scene from random view points and creates a dataset containing the renderings and corresponding annotation files.",CONCLUSIONS
1427,The random scene generator presented is designed to support research in this field by generating images of scenes with known complexity characteristics and with verifiable properties with respect to the distribution of features across a population.,CONCLUSIONS
1436,We found that many approaches that have been successful in the supervised learning setting underperformed in the sequential decision-making scenario.,CONCLUSIONS
1437,"In particular, we highlight the challenge of adapting slowly converging uncertainty estimates to the online setting.",CONCLUSIONS
1448,We discuss benefits and challenges of those approaches and report empirical evidence obtained in the study.,CONCLUSIONS
1463,Experimental results show that our proposed activation function outperforms other state-of-the-art models with most networks.,CONCLUSIONS
1474,"We illustrate the efficiency of OSSB using numerical experiments in the case of the linear bandit problem and show that OSSB outperforms existing algorithms, including Thompson sampling.",RESULTS/CONCLUSIONS
1482,The empirical findings provide us an intriguing picture of a representative large social network that might shed new lights on the modelling of large social networks.,CONCLUSIONS
1490,Our findings suggest that the near to by random strategies are likely to make the best use of the collective learning effects in advancing regional economic development practices.,CONCLUSIONS
1507,"By erasing the current predicted salient regions from side-output features, the network can eventually explore the missing object parts and details which results in high resolution and accuracy.",CONCLUSIONS
1513,We propose three enhancements to prevent DFJ's attacks and make XOR protocol stronger without introducing extra resource cost.,METHODS/RESULTS/CONCLUSIONS
1516,"In this paper, we introduce a symbolic extension of fuzzy logic programs in which some of these parameters can be left unknown, so that the user can easily see the impact of their possible values.",OBJECTIVES/METHODS/RESULTS/CONCLUSIONS
1517,"Furthermore, given a number of test cases, the most appropriate values for these parameters can be automatically computed.",METHODS/RESULTS/CONCLUSIONS
1520,"The resulting method is rigorous, versatile, and general -- it does not rely on any assumptions.",CONCLUSIONS
1521,"As shown in various examples, it is able to efficiently and reliably optimize such WPT systems in order to find their physical limitations on performance, optimal operating parameters and inspect their working principles, even for a large number of active transmitters and passive elements.",RESULTS/CONCLUSIONS
1534,"While open-world person re-id is challenging, we show for the first time that the adversarial-based approach helps stabilize person re-id system under imposter attack more effectively.",CONCLUSIONS
1538,"But we also consider our results interesting from a metatheoretical point of view: the fact that the covariant-contravariant simulation equivalence is indeed ground axiomatizable when there is no action that exhibits both a covariant and a contravariant behaviour, but becomes non-axiomatizable whenever we have together actions of that kind and either covariant or contravariant actions, offers us a new subtle example of the narrow border separating axiomatizable and non-axiomatizable semantics.",RESULTS/CONCLUSIONS
1550,"Experimental results on two public datasets, INbreast and DDSM-BCRP, show that our end-to-end network combined with adversarial training achieves the-state-of-the-art results.",RESULTS/CONCLUSIONS
1555,"The implications for mathematics curriculum developers, teacher-training programmes, teacher lesson preparation, and publication of mathematics instructional materials were also deeply considered.",CONCLUSIONS
1561,"Our approach generalizes standard inference models in VAEs and provides insight into several empirical findings, including top-down inference techniques.",CONCLUSIONS
1567,One of the advantage of this method is that it can be used without the fine-tuning costs.,METHODS/CONCLUSIONS
1576,"We believe this approach can be adapted to cover non-planar surfaces, simplifying future integration in robot skin applications.",CONCLUSIONS
1581,The experiment shows that different selection and survival strategies create different partitions on the entire population of all possible genotypes.,RESULTS/CONCLUSIONS
1585,"Results show an accurate match, with significant speedup gains.",RESULTS/CONCLUSIONS
1590,"That fact is already known for correlations as well as for communication, and we here extend it to computation.",RESULTS/CONCLUSIONS
1617,We hope that our proposed attack strategy can serve as a benchmark for evaluating the robustness of networks to adversaries and the effectiveness of different defense methods in future.,CONCLUSIONS
1626,"As a result, the computational cost is significantly reduced.",RESULTS/CONCLUSIONS
1627,Experimental results suggest the effectiveness of our method through several image processing applications based on matrix rank minimization with nuclear norm relaxation in terms of computation time and approximation precision.,RESULTS/CONCLUSIONS
1634,"Compared with the state-of-the-art methods, our approach demonstrates a better performance in bandwidth utilization.",RESULTS/CONCLUSIONS
1645,"Among various discovery mechanisms,Peer-to-Peer (P2P) technology witnessed rapid development and the key component for this success is efficient lookup applications of P2P.",CONCLUSIONS
1665,"Thus, using the MDFT, we propose multidimensional Hilbert transform (MDHT) and associated multidimensional analytic signal (MDAS) with following properties: (a) the extra and redundant positive, negative, or both frequencies, introduced due to complex exponential representation of multidimensional Fourier spectrum, are suppressed, (b) real part of MDAS is original signal, (c) real and imaginary part of MDAS are orthogonal, and (d) the magnitude envelope of a original signal is obtained as the magnitude of its associated MDAS, which is the instantaneous amplitude of the MDAS.",OBJECTIVES/RESULTS/CONCLUSIONS
1667,We also provide the decomposition of an image into the AM-FM image model by the Fourier method and obtain explicit expression for the analytic image computation by 2DDFT.,OBJECTIVES/RESULTS/CONCLUSIONS
1689,"In this work, we propose a style-aggregated approach to deal with the large intrinsic variance of image styles for facial landmark detection.",CONCLUSIONS
1703,The capabilities being developed for these collaborations are serving as the model for how new materials data can be incorporated into the Materials Project website with minimal staff overhead while giving powerful tools for data search and display to the user community.,CONCLUSIONS
1714,"Using intuitive toy examples as well as medical tasks for treating sepsis and HIV, we demonstrate that this new tree regularization yields models that are easier for humans to simulate than simpler L1 or L2 penalties without sacrificing predictive power.",RESULTS/CONCLUSIONS
1743,"PLOS ONE's validity-focused review and the substantial amount of favoritism shown by distant vs. very distant reviewers, both of whom should have little to gain from nepotism, point to the central role of substantive disagreements between scientists in different ""schools of thought.""",RESULTS/CONCLUSIONS
1744,"The results suggest that removing bias from peer review cannot be accomplished simply by recusing the closely-connected reviewers, and highlight the value of recruiting reviewers embedded in diverse professional networks.",CONCLUSIONS
1758,"Experimental results demonstrate the efficacy of our architectures against several strong baselines on CIFAR-10, CIFAR-100 and STL-10 with superior or on-par state-of-the-art performance.",RESULTS/CONCLUSIONS
1759,"Furthermore, we show our architectures yield superior results when trained using fewer training data.",RESULTS/CONCLUSIONS
1791,"With a relatively small number of training data, the surrogate model is capable of accurately characterizing the spatio-temporal evolution of the pressure and discontinuous CO2 saturation fields and can be used efficiently to compute the statistics of the system responses.",RESULTS/CONCLUSIONS
1796,Different effects of structural changes are shown and provide judging elements for decision makers regarding passenger traffic in airport design.,RESULTS/CONCLUSIONS
1800,"Simulations considering realistic scenarios show that the latency increase is significant only in the case of very strong survivability requirements, whereas it is negligible for moderate survivability requirements.",METHODS/RESULTS/CONCLUSIONS
1820,We show that a single chaff controlled by the optimal strategy or its online variation can drive the eavesdropper's tracking accuracy to zero when the user's mobility is sufficiently random.,RESULTS/CONCLUSIONS
1822,The efficacy of our solutions is verified through both synthetic and trace-driven simulations.,CONCLUSIONS
1825,"In this article, we check the implications of adapting ARP-Path to a wireless environment, and we prove that good ideas for wired networks might not be directly applicable to wireless networks, as not only the media differs, but also the characterization of these networks varies.",METHODS/RESULTS/CONCLUSIONS
1833,These multi-view receptive fields and residual feature connections are expected to yield highly generalized features for an accurate pixel-wise FG region identification.,METHODS/RESULTS/CONCLUSIONS
1835,The comparative experimental results on eleven benchmark datasets validate that the proposed model achieves very competitive performance with the prior- and state-of-the-art algorithms.,RESULTS/CONCLUSIONS
1836,We also report that how well a transfer learning approach can be useful to enhance the performance of our proposed MV-FCN.,CONCLUSIONS
1841,"It was found that the eight most used Dublin Core fields are: identifier, type, title, date, subject, creator, language and description.",RESULTS/CONCLUSIONS
1842,"Not all repositories fill all the fields, and the lack of normalization, or the excessive use of fields like language, type, format and subject is somewhat striking, and in some cases even alarming",RESULTS/CONCLUSIONS
1847,"Neural networks used in companion with genetic algorithms proved that they can accurately predict fractions quality shifts, reproducing the results of the standard laboratory analysis.",CONCLUSIONS
1849,Genetic algorithms can be successfully utilized in efficient training of large neural networks and finding their optimal structures.,CONCLUSIONS
1856,The inclusion of super resolution algorithm resulted in significant improved recognition rate over recently reported results obtained from unsupervised algorithms.,RESULTS/CONCLUSIONS
1863,"Through permutation of target-reaching conditions, we demonstrate that the proposed is capable of rapidly learning kinematics of the system without a priori knowledge, and is robust to (A) changing environmental reward and kinematics, and (B) occluded vision.",RESULTS/CONCLUSIONS
1865,"The results show how such a model can harness the benefits of both systems, using fast decisions in reliable circumstances while optimizing performance in changing environments.",RESULTS/CONCLUSIONS
1867,"Finally, the system which includes internal models is able to reach the target under the visual occlusion, while the pure habitual system is unable to operate sufficiently under such conditions.",RESULTS/CONCLUSIONS
1882,"We believe this type of system may provide benefits to controlling multiple integrated devices and visualizing interconnectivity or utilizing visual elements to pass information from one device to another, or may be especially beneficial to control devices when interacting with them physically may be difficult or pose danger or harm.",CONCLUSIONS
1890,Our results confirm and provide evidence that the engagement models classically used in human-robot interaction should take into account attitudes and personality traits.,CONCLUSIONS
