,Abstract,Task 1
83,"Based on simulation results, our method can significantly save energy compared to a baseline strategy, where there is no data aggregation and clustering scheme.",RESULTS/CONCLUSIONS
91,"Combined with a word formation module, CA-FCN can simultaneously recognize the script and predict the position of each character.",METHODS/RESULTS
92,Experiments demonstrate that the proposed algorithm outperforms previous methods on both regular and irregular text datasets.,RESULTS/CONCLUSIONS
97,In this paper we challenge this assumption.,RESULTS
98,"We find that the density learned by flow-based models, VAEs, and PixelCNNs cannot distinguish images of common objects such as dogs, trucks, and horses (i.e.",RESULTS
101,"Moreover, we find evidence of this phenomenon when pairing several popular image data sets: FashionMNIST vs MNIST, CelebA vs SVHN, ImageNet vs CIFAR-10 / CIFAR-100 / SVHN.",RESULTS
104,"These transformations admit some theoretical analysis, and we show that the difference in likelihoods can be explained by the location and variances of the data and the model curvature.",RESULTS
111,Numerical results provide validation of our design solution on how network conditions and system constraints impact the design and implementation of NC and how VNCF allows reliable communication over wireless networks with reliability and connectivity up to theoretical limits.,RESULTS/CONCLUSIONS
118,Comparisons with reference methods on both simulated and real data show that our approach yields higher prediction accuracy than standard voxel-based approaches.,RESULTS
119,"Moreover, the method infers an explicit weighting of the regions involved in the regression or classification task.",RESULTS
124,We find that American English is the dominant form of English outside the UK and that its influence is felt even within the UK borders.,RESULTS
125,"Finally, we analyze how this trend has evolved over time and the impact that some cultural events have had in shaping it.",RESULTS
130,"We prove a necessary and sufficient condition for showing the ergodicity of the MQN when the number of batteries approaches infinity, and further prove that the blocking probability has two different types of asymptotic behaviors.",RESULTS
131,"Meanwhile, for each type of asymptotic behavior, we analytically derive the asymptotic lower bound of the blocking probability.",RESULTS
139,The experiments show that RECS outperforms state-of-the-art algorithms by up to 36.85% on multi-label classification problem.,RESULTS/CONCLUSIONS
140,"Further, in contrast to baselines, RECS, being deterministic, is completely stable.",RESULTS/CONCLUSIONS
161,Our approach shows superior reconstructions compared to recent global reconstruction approaches like D-AMP and TVAL3 on both simulated and real data.,RESULTS/CONCLUSIONS
168,We use Twitter social media to obtain the set of drunk texters and non-drunk texters and show that we can classify users into these two respective sets using various psycholinguistic features with an overall average accuracy of 96.78% with very high precision and recall.,METHODS/RESULTS/CONCLUSIONS
174,Results suggest that the extreme learning machine perform equally well to back propagation neural network in term of classification accuracy with this data set.,RESULTS
179,"Experiments show that our approach increases the end-task reward achieved by the model, improves the effectiveness of long-term planning using rollouts, and allows self-play reinforcement learning to improve decision making without diverging from human language.",RESULTS
184,"Combining these allows direct prediction of future locations of human hands and objects, which enables the robot to infer the motor control plan using our manipulation network.",METHODS/RESULTS
185,"We experimentally confirm that our approach makes learning of robot activities from unlabeled human interaction videos possible, and demonstrate that our robot is able to execute the learned collaborative activities in real-time directly based on its camera input.",RESULTS/CONCLUSIONS
191,The proposed method guarantees fair bandwidth sharing of competitive flows.,RESULTS
199,"In short, the quality-in-use measurement issues are related to the complexity of the current standard models and the limitations and incompleteness of the customized software quality models.",RESULTS
200,A sentiment analysis of software reviews is proposed to deal with these issues.,RESULTS/CONCLUSIONS
204,"We prove that our procedure synthesizes general witnesses in that if a witness is found, then for all inhabited input types, there exist values that can make the function go wrong.",METHODS/RESULTS
207,"Our technique is able to generate witnesses for around 85% of the programs, our reduction graph yields small counterexamples for over 80% of the witnesses, and a simple heuristic allows us to use witnesses to locate the source of type errors with around 70% accuracy.",RESULTS
212,We demonstrate the ability of our architecture to discern relevant information for more accurate generation of type description by pitting the system against several strong baselines.,RESULTS
215,"We give two simple constructions of sparse extractor families, which are collections of sparse functions such that for any distribution X on inputs of sufficiently high min-entropy, the output of most functions from the collection on a random input chosen from X is statistically close to uniform.",RESULTS
216,"For strong extractor families (i.e., functions in the family do not take additional randomness) we give upper and lower bounds on the sparsity that are tight up to a constant factor for a wide range of min-entropies.",RESULTS
217,We then prove that for some min-entropies weak extractor families can achieve better sparsity.,RESULTS
218,We show how this construction can be used towards more efficient parallel transformation of (non-uniform) one-way functions into pseudorandom generators.,RESULTS
224,"Our results show that MLEI effectively identifies and exploits the priors, even when there is no obvious match between the current situations and the priors.",RESULTS
225,"This paper provides a general result on controlling local Rademacher complexities, which captures in an elegant form to relate the complexities with constraint on the expected norm to the corresponding ones with constraint on the empirical norm.",RESULTS
227,We demonstrate the power of our complexity bounds by applying them to derive effective generalization error bounds.,RESULTS
232,"On four restoration tasks---image inpainting, pixel interpolation, image deblurring, and image denoising---and three diverse datasets, our approach consistently outperforms both the status quo training procedure and curriculum learning alternatives.",RESULTS
237,"We provide a reduced example for which we give the set of all possible generalized equilibria, which enables to give an approximation of the price ofanarchy.",RESULTS
238,"We provide a more realistic example which relies on the IEEE 14-bus network, for which we can simulate the trades under different preference prices.",RESULTS
243,"On application to some simple networks, the procedure exhibits a smooth improvement in approximation quality as computation time increases.",RESULTS
245,In this paper we present the RuSentRel corpus including analytical texts in the sphere of international relations.,RESULTS
261,"We show, under these principles, artificial neural networks embedded with hierarchy and fast Hebbian memory, can learn the statistics of memories and generalise structural knowledge.",METHODS/RESULTS
262,"Spatial neuronal representations mirroring those found in the brain emerge, suggesting spatial cognition is an instance of more general organising principles.",RESULTS/CONCLUSIONS
263,"We further unify many entorhinal cell types as basis functions for constructing transition graphs, and show these representations effectively utilise memories.",RESULTS/CONCLUSIONS
264,"We experimentally support model assumptions, showing a preserved relationship between entorhinal grid and hippocampal place cells across environments.",METHODS/RESULTS/CONCLUSIONS
269,"In addition to a low computational cost for the proposed method, we show numerically that the resulting combining matrices perform better than the ones generated by a previous approach and combining matrices generated from a Gaussian ensemble.",RESULTS/CONCLUSIONS
277,"Application of the algorithm to the Griewank function was possible in up to 1 billion decision variables in double precision took only 64485 seconds (~18 hours) to solve, while consuming 7,630 MB (7.6 GB) or RAM on a single threaded laptop CPU.",METHODS/RESULTS
284,The superiority of the proposed spatiotemporal model is demonstrated on the Moving MNIST dataset augmented with rotation and scaling.,RESULTS
285,"We propose a mechanism that incorporates network coding into TCP with only minor changes to the protocol stack, thereby allowing incremental deployment.",OBJECTIVES/RESULTS
291,Our experiments show that our algorithm achieves higher throughput compared to TCP in the presence of lossy wireless links.,RESULTS
292,We also establish the soundness and fairness properties of our algorithm.,RESULTS
294,"Several workstreams were employed in order to bring about a cultural change within the bank towards the use of spreadsheets and other end-user tools, covering policy development, awareness and skills training, inventory monitoring, user licensing, key risk metrics and mitigation approaches.",METHODS/RESULTS
299,The experimental results for the - continuous domain establish that a region which does not contain any heat sources may become hotter than the regions containing the thermal sources.,RESULTS
307,"To this end, we first thoroughly analyze the current state of the art (iCaRL) method for incremental learning and demonstrate that the good performance of the system is not because of the reasons presented in the existing literature.",METHODS/RESULTS
309,"Finally, we propose a dynamic threshold moving algorithm that is able to successfully remove this bias.",METHODS/RESULTS
310,We demonstrate the effectiveness of our algorithm on CIFAR100 and MNIST datasets showing near-optimal results.,RESULTS
319,We conclude with some numerical examples that demonstrate improved data efficiency and stability of PGQL.,RESULTS
320,"In particular, we tested PGQL on the full suite of Atari games and achieved performance exceeding that of both asynchronous advantage actor-critic (A3C) and Q-learning.",RESULTS
323,"The unique character of this research and its history, originating from governmental programs of the USSR, is shown.",RESULTS
327,We establish a map of the countries contributing to GRQC in 2012.,RESULTS
328,We determine the main journals publishing GRQC papers and which countries publish in which journals.,RESULTS
329,We find that more and more papers are written by groups (instead of single) of authors with more and more international collaborations.,RESULTS
330,There are huge differences between countries.,RESULTS
331,Hence Russia is the country where most of papers are written by single authors whereas Canada is one of the countries where the most of papers imply international collaborations.,RESULTS
333,The largest mobilities are between USA-UK and USA-Germany.,RESULTS
334,Countries attracting the most of GRQC authors are Netherlands and Canada whereas those undergoing a brain drain are Italy and India.,RESULTS
335,There are few mobility between Europe and Asia contrarily to mobility between USA and Asia.,RESULTS
349,We show how CBTs allow safe concurrent executions of actions and we analyze the approach from a mathematical standpoint.,RESULTS
354,The deviant probability framework has been the result of such an approach.,BACKGROUND/RESULTS
356,"In this research, duality results are adapted to demonstrate the possibility of improved comparisons across implications between ontologically distinct concepts in a common logic-based framework by the present author.",RESULTS/CONCLUSIONS
357,Both positive and negative results are proved that delimit possible comparisons in a clearer way by her.,RESULTS/CONCLUSIONS
369,We present simulations for both basic percolation and interventions that support our theoretical results.,RESULTS
376,"To better understand this development, we decompose the variance of the policy gradient estimator and numerically show that learned state-action-dependent baselines do not in fact reduce variance over a state-dependent baseline in commonly tested benchmark domains.",OBJECTIVES/METHODS/RESULTS
377,"We confirm this unexpected result by reviewing the open-source code accompanying these prior papers, and show that subtle implementation decisions cause deviations from the methods presented in the papers and explain the source of the previously observed empirical gains.",METHODS/RESULTS
378,"Furthermore, the variance decomposition highlights areas for improvement, which we demonstrate by illustrating a simple change to the typical value function parameterization that can significantly improve performance.",METHODS/RESULTS
384,We investigate the performance of the compositional methods by measuring the relational similarities using several benchmark datasets for word analogy.,RESULTS
385,"Moreover, we evaluate the different relation representations in a knowledge base completion task.",RESULTS
390,Our method improved results across all languages.,RESULTS
399,"We show that by exploiting the nonstationarity of distributions, both cause-effect pairs and two kinds of causal graphs are identifiable under mild conditions.",RESULTS/CONCLUSIONS
400,Experiments on synthetic and real-world data are conducted to justify the efficacy of ENCI over major existing methods.,RESULTS
403,"Moreover, we created a series of endgame tablebases containing all configurations with up to four pieces.",METHODS/RESULTS
404,These tablebases are the first steps towards theoretically solving the game.,RESULTS
405,"Finally, we constructed decision trees based on the endgame tablebases.",METHODS/RESULTS
406,In this note we report on some interesting patterns.,RESULTS
410,"Experimentally, we show that our method produces images with high visual quality while greatly reducing the potency of state-of-the-art attacks.",RESULTS
417,We demonstrate that this is in fact possible: the information X's minimal sufficient statistic preserves about Y is exactly the information that Y's minimal sufficient statistic preserves about X.,RESULTS
418,"As an important corollary, we consider the case where one variable is a stochastic process' past and the other its future and the present is viewed as a memoryful channel.",RESULTS
419,"In this case, the mutual information is the channel transmission rate between the channel's effective states.",RESULTS
425,"In this work, we show that it is possible to recover both latent and conditional vectors from generated images given the generator of a conditional generative adversarial network.",RESULTS/CONCLUSIONS
428,"We discovered that there exists a gap between the recovery performance on generated and real images, which we believe comes from the difference between generated data distribution and real data distribution.",RESULTS
429,"Experiments are conducted to evaluate the recovered conditional vectors and the reconstructed images from these recovered vectors quantitatively and qualitatively, showing promising results.",METHODS/RESULTS
435,The results of experiments on several TREC collections show that the new approach compares favourably to current state-of-the-art expansion methods.,RESULTS/CONCLUSIONS
441,"We demonstrate our approach on illustrative toy datasets, as well as on a challenging problem of predicting age from images.",RESULTS
458,"The main result gives explicit bounds on the number of measurements in order to achieve stable recovery, which depends on the mutual coherence of the two systems.",RESULTS
459,"As a simple corollary, we prove the efficiency of nonuniform sampling strategies in cases when the two systems are not incoherent, but only asymptotically incoherent, as with the recovery of wavelet coefficients from Fourier samples.",RESULTS
468,"Using these parameters, we output a coefficient for the overall well being of a person.",METHODS/RESULTS
475,An evaluation of the algorithms performance shows a high accuracy in the recognition of objects as well as of complete trajectories.,RESULTS
476,"Moreover, a direct comparison to a similar algorithm shows superior recognition rates.",RESULTS
482,The results show that the proposed semantic stopping criteria are able to detect stopping points that result in a competitive generalization for both GSGP and SLM.,RESULTS/CONCLUSIONS
483,"This approach also yields computationally efficient algorithms as it allows the evolution of neural networks in less than 3 seconds on average, and of GP trees in at most 10 seconds.",RESULTS/CONCLUSIONS
484,The usage of the proposed semantic stopping criteria in conjunction with the computation of optimal mutation/learning steps also results in small trees and neural networks.,RESULTS/CONCLUSIONS
491,"First, we show that convolutional rectifier networks are universal with max pooling but not with average pooling.",RESULTS
492,"Second, and more importantly, we show that depth efficiency is weaker with convolutional rectifier networks than it is with convolutional arithmetic circuits.",RESULTS
504,"Finally, an adversarial pattern on a physical object that could fool a detector would have to be adversarial in the face of a wide family of parametric distortions (scale; view angle; box shift inside the detector; illumination; and so on).",RESULTS
509,"In this work, we show that the post-activation ResNet is related to an optimal control problem with differential inclusions, and provide continuous-time stability results for the differential inclusion associated with ResNet.",RESULTS
510,"Motivated by the stability conditions, we show that alterations of either the architecture or the optimization problem can generate variants of ResNet which improve the theoretical stability bounds.",RESULTS
511,"In addition, we establish stability bounds for the full (discrete) network associated with two variants of ResNet, in particular, bounds on the growth of the features and a measure of the sensitivity of the features with respect to perturbations.",RESULTS
522,The predictive performance of the proposed model is better than the preoperative data only model.,RESULTS
523,"For AKI-7day outcome: The AUC was 0.86 (accuracy was 0.78) in the proposed model, while the preoperative AUC was 0.84 (accuracy 0.76).",RESULTS
528,"A framework is also presented as use case considering specific application scenarios like smart-health, smart-grid, smart-environment and smart-streets.",RESULTS
532,"Regularizing ML for mass adoption requires a rigorous standard for model interpretability, a deep consideration for human bias in data, and a transparent understanding of a model's societal effects.",RESULTS
540,The developed UC-based methodology is validated by using 1-year of data with six solar features.,RESULTS
541,Numerical results show that (i) UC-based models outperform non-UC (all-in-one) models with the same M3 architecture by approximately 20%; (ii) M3-based models also outperform the single-algorithm machine learning (SAML) models by approximately 20%.,RESULTS/CONCLUSIONS
544,The game tree is exponentially large both in the size of the graph and in the number of attacking resources.,RESULTS
545,"We show that when the number of the Attacker's resources is free, the problem of computing the equilibrium path is NP-hard, while when the number of resources is fixed, the equilibrium path can be computed in poly-time.",OBJECTIVES/RESULTS
546,"We provide a dynamic-programming algorithm that, given the number of the Attacker's resources, computes the equilibrium path requiring poly-time in the size of the graph and exponential time in the number of the resources.",METHODS/RESULTS
548,"We show that even the error of just a single resource can lead to an arbitrary inefficiency, when the inefficiency is defined as the ratio of the Defender's utilities obtained with a wrong guess and a correct guess.",RESULTS
551,"Finally, we resort to randomized online algorithms showing that we can obtain a competitive factor that is twice better than the one that can be achieved by any deterministic online algorithm.",METHODS/RESULTS/CONCLUSIONS
557,"Specifically, it describes the challenges arising from autonomy and software architectures, avoiding low-level hardware control and is subsequently identifies approaches for the specification and verification of robotic systems, while avoiding more general approaches.",RESULTS/CONCLUSIONS
563,This paper also presents an efficient and effective method to generate initial seeds to facilitate trajectory optimization.,RESULTS
570,The simulation results involving several scenarios demonstrate that LS estimation can provide the convergence for feedback mechanism based algorithm.,RESULTS/CONCLUSIONS
577,We successfully test our approach on two low-resource datasets that lack temporal labels.,RESULTS
583,"Through extensive experiments on four popular large-scale RGB-D datasets, we demonstrate this approach achieves competitive semantic segmentation performance with a model which is substantially more compact.",RESULTS
584,"We carry out extensive analysis of this architecture including variants that operate on monocular RGB but use depth as side-information during training, unsupervised gating as a generic attentional mechanism, and multi-resolution gating.",RESULTS
596,"We present experiments demonstrating the efficacy of this approach, in many cases yielding orders of magnitude improvements over previous methods.",RESULTS/CONCLUSIONS
603,The best model on 10-fold cross-validation as well as blind test data uses n-gram features with bidirectional long short-term memory.,METHODS/RESULTS
616,"In this paper, we propose a novel framework for performance optimization in Internet of Things (IoT)-based next-generation wireless sensor networks.",RESULTS
623,This is supported with a mathematical coverage model that deals with the formation of coverage holes.,METHODS/RESULTS
625,Our proposed framework offers a handy algorithm that enjoys desirable complexity for real-time applications as shown by the extensive simulation results.,RESULTS/CONCLUSIONS
634,"We evaluate our network in multiple tasks, including adaptive deep compression, knowledge distillation, and learning class hierarchy, and demonstrate that nested sparse networks perform competitively, but more efficiently, compared to existing methods.",RESULTS/CONCLUSIONS
639,"By comparing the two groups of participants, we found that a single night of sleep deprivation leads to a reduction of 50% in the quality of the implementations.",RESULTS
640,There is important evidence that the developers' engagement and their prowess to apply TFD are negatively impacted.,RESULTS
641,Our results also show that sleep-deprived developers make more fixes to syntactic mistakes in the source code.,RESULTS/CONCLUSIONS
653,Experimental results show the proposed models significantly outperform the state-of-the-art in two data mining tasks: cold-start user response time prediction and stock volatility prediction.,RESULTS
660,In this paper we review the various analytical aspects of The Green Grid upon the data centers and found green facts.,METHODS/RESULTS
665,We provide theoretical analysis for the bounds of success for k-SSC.,RESULTS
666,Our experiments show that k-SSC exceeds theoretical expectations and outperforms existing SSC approximations by maintaining the classification performance of SSC.,RESULTS
670,"It is shown that, while fully-connected neural networks give good performance for small block sizes, convolutional neural networks provide better predictions in large blocks with complex textures.",RESULTS
672,"When integrating PNNS into a H.265 codec, PSNR-rate performance gains going from 1.46% to 5.20% are obtained.",RESULTS
673,These gains are on average 0.99% larger than those of prior neural network based methods.,RESULTS
677,The main results include approximate controllability properties both for the static and mobile control supports.,RESULTS
684,"This allows to design discriminative networks (to classify or reduce the dimensionality of input measures), generative architectures (to synthesize measures) and recurrent pipelines (to predict measure dynamics).",OBJECTIVES/RESULTS
685,"We provide a theoretical analysis of these building blocks, review our architectures' approximation abilities and robustness w.r.t. perturbation, and try them on various discriminative and generative tasks.",OBJECTIVES/RESULTS
691,"On average, the recommendations by ARES have an accuracy of 96% with respect to code changes that developers have manually performed in commits of source code archives.",RESULTS
692,At the same time ARES achieves precision and recall values that are on par with other tools.,RESULTS
697,It further provides flexible and personalized access to these learning materials.,RESULTS
701,"Chess-playing Deep Blue is a calibrated value function, whereas shogi-playing Bonanza is an estimated value function via Rust's (1987) nested fixed-point method.",RESULTS
702,"AlphaGo's ""supervised-learning policy network"" is a deep neural network implementation of Hotz and Miller's (1993) conditional choice probability estimation; its ""reinforcement-learning value network"" is equivalent to Hotz, Miller, Sanders, and Smith's (1994) conditional choice simulation method.",RESULTS
703,Relaxing these AIs' implicit econometric assumptions would improve their structural interpretability.,RESULTS/CONCLUSIONS
710,"We have also developed a computationally efficient routine for the convex optimization, thus allowing the proposed method to be used widely.",RESULTS
711,"To verify the effectiveness of the proposed method, computer simulations were conducted on synthetic, image classification and sentiment classification datasets.",RESULTS
715,One major result of this study is that VESTA runs significantly faster than the MCA.,RESULTS
727,Our method has been demonstrated on a variety of geometric models and non-complete data.,RESULTS
728,"Experimental results show that the PPGMF method based on the proposed metric is able to fit non-complete data, while the method based on other metrics is unable.",RESULTS
729,It is also shown that our method can be accelerated by several times via early rejection.,RESULTS
732,Our approach leverages instantaneous variation in acceleration patterns from gait sequences to extract always-fresh secure secrets.,RESULTS
739,The package is designed to facilitate the expansion of new methods in this research field and make evaluations between the new approaches and existing ones accessible.,RESULTS
745,"We propose a generic construction with explicit generator and Gram matrices, then focus on modular and unimodular lattices, obtained in the particular cases of totally real, respectively, imaginary, quadratic fields.",OBJECTIVES/RESULTS
747,Interesting lattices are exhibited.,RESULTS
755,We show through quantitative and qualitative evaluation that our method outperforms state-of-the-art methods for video prediction.,RESULTS/CONCLUSIONS
764,"Main Results: The rMSEs between individual PASS values and population age-normals (hr: 25.9 bpm, sbp: 13.4 mmHg, dbp: 13.0 mmHg) were larger than the rMSEs corresponding to the polynomial regression (hr: 19.1 bpm, sbp: 12.3 mmHg, dbp: 10.8 mmHg).",RESULTS
765,"The rMSEs from the best performing RNN model were the lowest (hr: 16.4 bpm; sbp: 9.9 mmHg, dbp: 9.0 mmHg).",RESULTS
779,"The experimental results show that the CELMs have better generalization ability than traditional ELM, SVM and some other related methods.",RESULTS/CONCLUSIONS
780,"Additionally, the CELMs have a similar fast learning speed as ELM.",RESULTS/CONCLUSIONS
788,"The languages surveyed in this paper include: DMQL, MineSQL, MSQL, M2MQL, dmFSQL, OLEDB for DM, MINE RULE, and Oracle Data Mining.",RESULTS
791,Using this system we can alleviate the intrinsic interference problem in FBMC systems.,RESULTS
792,"This enables use of all the multicarrier techniques used in cyclic-prefix orthogonal frequency-division multiplexing (CP-OFDM) systems for channel equalization, multiple-input/multiple-output (MIMO) processing, etc., without using the extra processing required for conventional FBMC.",RESULTS
793,"DP-FBMC also provides other interesting advantages over CP-OFDM and FBMC such as more robustness in multipath fading channels, and more robustness to receiver carrier frequency offset (CFO) and timing offset (TO).",RESULTS
795,We will show that one of these structures has exactly the same system complexity and equipment as conventional FBMC.,RESULTS
796,In our simulation results DP-FBMC has better bit error ratio (BER) performance in dispersive channels.,RESULTS
806,"We show two applications: (i) a proof of concept image dataset, and (ii) linking Caffe with the virtual world to test deep network algorithms.",RESULTS
813,"We show that the few parameters of the aligner can be trained on a very small corpus, which leads to results comparable to those obtained by the state-of-the-art tool GIZA++ in terms of precision.",RESULTS
814,"Regarding other metrics, such as alignment error rate or F-measure, the parametric aligner, when trained on a very small gold-standard (450 pairs of sentences), provides results comparable to those produced by GIZA++ when trained on an in-domain corpus of around 10,000 pairs of sentences.",RESULTS
820,"The procedure of this method is that, first, the ratio of the same torque harmonics is estimated, secondly, by using that estimation, the ratio of voltage harmonics that generates homogeneous torques is calculated.",RESULTS
821,"For the estimation and the calculation of the ratios motor parameter, mechanical speed of the rotor, the applied frequency, and the concept of slip are used.",RESULTS
822,The advantage of this approach is highlighted when mechanical load and DC bus voltage variations are taken into consideration.,RESULTS
833,Our end-to-end approach is 10x faster than its two-stage baseline.,RESULTS
834,"Experimental results on four challenging action recognition datasets: UCF101, HMDB51, THUMOS14 and ActivityNet v1.2 show that our approach significantly outperforms the previous best real-time approaches.",RESULTS
838,"Results: We present a multitude of results, such as: Respondents perceive only one third of all reviews to be good, yet one third as useless or misleading; they propose double-blind or zero-blind reviewing regimes for improvement; they would like to see showable proofs of (good) reviewing work be introduced; attitude change trends are weak.",RESULTS
842,"Inspired by previous work of Shoup, Lenstra-De Smit and Couveignes-Lercier, we give fast algorithms to compute in (the first levels of) the ell-adic closure of a finite field.",BACKGROUND/RESULTS
843,"In many cases, our algorithms have quasi-linear complexity.",RESULTS
846,Our proposal efficiently learns sparse features without the need of an additional validity mask.,METHODS/RESULTS
848,"Our method even works with densities as low as 0.8% (8 layer lidar), and outperforms all published state-of-the-art on the Kitti depth completion benchmark.",RESULTS
853,"We show that in both cases, the control law can be obtained by solving optimization problems with linear constraints at each step.",RESULTS
858,"Our tool, called ODBR, leverages the uiautomator framework and low-level event stream capture to offer support for recording and replaying a series of input gesture and sensor events that describe a bug in an Android application.",METHODS/RESULTS
864,"We show the potential for this method to avoid local optima and converge to similar highly fit morphologies across widely varying initial conditions, while sustaining fitness improvements further into optimization.",RESULTS
875,"Our approach outperforms model-free baselines on challenging continuous control benchmarks with an order-of-magnitude increase in sample efficiency, and in contrast to previous model-based approaches, performance does not degrade in complex environments.",RESULTS
884,Simulations result shows the algorithm provides substantial security in just five encryption rounds.,RESULTS/CONCLUSIONS
908,The results show that the latent vector exhibits better compression capability than the previous state-of-the-art model.,RESULTS
910,"ERPENet significantly outperforms Xdawn, achieving 79.37% - 88.52% accuracy, depending on the dataset.",RESULTS/CONCLUSIONS
914,We applied the MCLNN to the environmental sounds of the ESC-10 dataset.,RESULTS
915,The MCLNN achieved competitive accuracies compared to state-of-the-art convolutional neural networks and hand-crafted attempts.,RESULTS/CONCLUSIONS
921,"This result is the first of its kind, requiring no assumptions on the data distribution, training/network size, or initialization.",OBJECTIVES/RESULTS
922,Convergence of the resultant iterative algorithm to a global minimum is analyzed by establishing both an upper bound and a lower bound on the number of effective (non-zero) updates to be performed.,RESULTS
923,"Furthermore, generalization guarantees are developed for ReLU networks trained with the novel SGD.",RESULTS
924,These guarantees highlight a fundamental difference (at least in the worst case) between learning a ReLU network as well as a leaky ReLU network in terms of sample complexity.,RESULTS/CONCLUSIONS
935,"We evaluate the proposed methods on the wsj0-2mix dataset, a well-studied corpus for single-channel speaker-independent speaker separation, matching the performance of state-of-the-art mask-based approaches without requiring additional phase reconstruction steps.",RESULTS/CONCLUSIONS
940,Results revealed majority of programmers perceive that they are responsible for the end-users' security of applications they develop.,RESULTS
941,"Furthermore, results showed that even though programmers aware of things they need to do to ensure end-users' security, they do not often follow them.",RESULTS
946,"We show empirically that, compared to traditional DBSCAN, DBSCAN++ can provide not only competitive performance but also added robustness in the bandwidth hyperparameter while taking a fraction of the runtime.",OBJECTIVES/RESULTS
947,We also present statistical consistency guarantees showing the trade-off between computational cost and estimation rates.,OBJECTIVES/RESULTS
948,"Surprisingly, up to a certain point, we can enjoy the same estimation rates while lowering computational cost, showing that DBSCAN++ is a sub-quadratic algorithm that attains minimax optimal rates for level-set estimation, a quality that may be of independent interest.",RESULTS
953,"Using NSynth, we demonstrate improved qualitative and quantitative performance of the WaveNet autoencoder over a well-tuned spectral autoencoder baseline.",RESULTS/CONCLUSIONS
954,"Finally, we show that the model learns a manifold of embeddings that allows for morphing between instruments, meaningfully interpolating in timbre to create new types of sounds that are realistic and expressive.",RESULTS/CONCLUSIONS
965,We strongly believe that these models will significantly contribute to the state of the art of simulating realistically opportunistic networks.,RESULTS
969,"The proposed DenseNMT not only allows dense connection in creating new features for both encoder and decoder, but also uses the dense attention structure to improve attention quality.",OBJECTIVES/METHODS/RESULTS
970,Our experiments on multiple datasets show that DenseNMT structure is more competitive and efficient.,RESULTS/CONCLUSIONS
980,"Compared with the conventional Gaussian Mixture Model (GMM) and support vector machine (SVM) methods, the proposed fully DNN-based method could well utilize the long-term temporal information with the whole chunk as the input.",RESULTS
