Id,result
T00473,BACKGROUND
T00474,METHODS
T00475,BACKGROUND
T00476,METHODS
T00477,METHODS
T00478,METHODS
T00479,BACKGROUND
T00480,BACKGROUND
T00481,BACKGROUND
T00482,METHODS
T00483,METHODS
T00484,BACKGROUND
T00485,BACKGROUND
T00486,BACKGROUND
T00487,METHODS
T00488,METHODS
T00489,METHODS
T00490,METHODS
T00491,BACKGROUND
T00492,METHODS
T00493,BACKGROUND
T00494,RESULTS
T00495,BACKGROUND
T00496,METHODS
T00497,METHODS
T00498,METHODS
T00499,BACKGROUND
T00500,METHODS
T00501,BACKGROUND
T00502,BACKGROUND
T00503,BACKGROUND
T00504,RESULTS
T00505,BACKGROUND
T00506,METHODS
T00507,RESULTS
T00508,RESULTS
T00509,METHODS
T00510,METHODS
T00511,BACKGROUND
T00512,METHODS
T00513,BACKGROUND
T00514,METHODS
T00515,BACKGROUND
T00516,METHODS
T00517,METHODS
T00518,METHODS
T00519,RESULTS
T00520,RESULTS
T00521,BACKGROUND
T00522,BACKGROUND
T00523,BACKGROUND
T00524,RESULTS
T00525,BACKGROUND
T00526,METHODS
T00527,METHODS
T00528,METHODS
T00529,BACKGROUND
T00530,BACKGROUND
T00531,METHODS
T00532,METHODS
T00533,RESULTS
T00534,METHODS
T00535,BACKGROUND
T00536,BACKGROUND
T00537,BACKGROUND
T00538,BACKGROUND
T00539,RESULTS
T00540,BACKGROUND
T00541,BACKGROUND
T00542,BACKGROUND
T00543,BACKGROUND
T00544,METHODS
T00545,METHODS
T00546,BACKGROUND
T00547,BACKGROUND
T00548,METHODS
T00549,METHODS
T00550,BACKGROUND
T00551,RESULTS
T00552,METHODS
T00553,BACKGROUND
T00554,BACKGROUND
T00555,RESULTS
T00556,BACKGROUND
T00557,METHODS
T00558,BACKGROUND
T00559,METHODS
T00560,METHODS
T00561,BACKGROUND
T00562,METHODS
T00563,METHODS
T00564,METHODS
T00565,RESULTS
T00566,BACKGROUND
T00567,RESULTS
T00568,BACKGROUND
T00569,RESULTS
T00570,BACKGROUND
T00571,RESULTS
T00572,METHODS
T00573,BACKGROUND
T00574,METHODS
T00575,METHODS
T00576,BACKGROUND
T00577,METHODS
T00578,METHODS
T00579,BACKGROUND
T00580,BACKGROUND
T00581,METHODS
T00582,RESULTS
T00583,METHODS
T00584,BACKGROUND
T00585,METHODS
T00586,METHODS
T00587,METHODS
T00588,RESULTS
T00589,METHODS
T00590,RESULTS
T00591,RESULTS
T00592,RESULTS
T00593,BACKGROUND
T00594,OBJECTIVES
T00595,METHODS
T00596,BACKGROUND
T00597,RESULTS
T00598,METHODS
T00599,METHODS
T00600,BACKGROUND
T00601,METHODS
T00602,RESULTS
T00603,METHODS
T00604,RESULTS
T00605,METHODS
T00606,METHODS
T00607,BACKGROUND
T00608,RESULTS
T00609,METHODS
T00610,RESULTS
T00611,RESULTS
T00612,RESULTS
T00613,METHODS
T00614,METHODS
T00615,METHODS
T00616,METHODS
T00617,METHODS
T00618,BACKGROUND
T00619,METHODS
T00620,BACKGROUND
T00621,RESULTS
T00622,RESULTS
T00623,BACKGROUND
T00624,BACKGROUND
T00625,METHODS
T00626,BACKGROUND
T00627,BACKGROUND
T00628,RESULTS
T00629,METHODS
T00630,BACKGROUND
T00631,METHODS
T00632,BACKGROUND
T00633,BACKGROUND
T00634,METHODS
T00635,BACKGROUND
T00636,RESULTS
T00637,METHODS
T00638,BACKGROUND
T00639,BACKGROUND
T00640,BACKGROUND
T00641,BACKGROUND
T00642,METHODS
T00643,METHODS
T00644,METHODS
T00645,METHODS
T00646,BACKGROUND
T00647,BACKGROUND
T00648,RESULTS
T00649,METHODS
T00650,BACKGROUND
T00651,METHODS
T00652,BACKGROUND
T00653,METHODS
T00654,BACKGROUND
T00655,OBJECTIVES
T00656,BACKGROUND
T00657,METHODS
T00658,METHODS
T00659,BACKGROUND
T00660,METHODS
T00661,METHODS
T00662,METHODS
T00663,METHODS
T00664,METHODS
T00665,RESULTS
T00666,METHODS
T00667,RESULTS
T00668,BACKGROUND
T00669,RESULTS
T00670,METHODS
T00671,METHODS
T00672,METHODS
T00673,METHODS
T00674,BACKGROUND
T00675,BACKGROUND
T00676,METHODS
T00677,METHODS
T00678,RESULTS
T00679,RESULTS
T00680,METHODS
T00681,METHODS
T00682,METHODS
T00683,BACKGROUND
T00684,BACKGROUND
T00685,RESULTS
T00686,METHODS
T00687,METHODS
T00688,BACKGROUND
T00689,METHODS
T00690,METHODS
T00691,METHODS
T00692,METHODS
T00693,BACKGROUND
T00694,METHODS
T00695,METHODS
T00696,BACKGROUND
T00697,METHODS
T00698,RESULTS
T00699,BACKGROUND
T00700,RESULTS
T00701,METHODS
T00702,METHODS
T00703,BACKGROUND
T00704,BACKGROUND
T00705,RESULTS
T00706,METHODS
T00707,RESULTS
T00708,RESULTS
T00709,METHODS
T00710,RESULTS
T00711,METHODS
T00712,BACKGROUND
T00713,METHODS
T00714,BACKGROUND
T00715,METHODS
T00716,METHODS
T00717,METHODS
T00718,METHODS
T00719,BACKGROUND
T00720,BACKGROUND
T00721,METHODS
T00722,METHODS
T00723,BACKGROUND
T00724,BACKGROUND
T00725,BACKGROUND
T00726,METHODS
T00727,RESULTS
T00728,METHODS
T00729,RESULTS
T00730,METHODS
T00731,METHODS
T00732,RESULTS
T00733,BACKGROUND
T00734,METHODS
T00735,BACKGROUND
T00736,BACKGROUND
T00737,BACKGROUND
T00738,METHODS
T00739,METHODS
T00740,METHODS
T00741,BACKGROUND
T00742,METHODS
T00743,METHODS
T00744,METHODS
T00745,RESULTS
T00746,BACKGROUND
T00747,METHODS
T00748,RESULTS
T00749,BACKGROUND
T00750,METHODS
T00751,BACKGROUND
T00752,BACKGROUND
T00753,METHODS
T00754,METHODS
T00755,BACKGROUND
T00756,METHODS
T00757,BACKGROUND
T00758,METHODS
T00759,METHODS
T00760,RESULTS
T00761,BACKGROUND
T00762,BACKGROUND
T00763,METHODS
T00764,BACKGROUND
T00765,BACKGROUND
T00766,BACKGROUND
T00767,BACKGROUND
T00768,METHODS
T00769,BACKGROUND
T00770,METHODS
T00771,METHODS
T00772,OBJECTIVES
T00773,METHODS
T00774,METHODS
T00775,METHODS
T00776,OBJECTIVES
T00777,RESULTS
T00778,BACKGROUND
T00779,METHODS
T00780,METHODS
T00781,METHODS
T00782,BACKGROUND
T00783,BACKGROUND
T00784,BACKGROUND
T00785,RESULTS
T00786,BACKGROUND
T00787,METHODS
T00788,METHODS
T00789,METHODS
T00790,BACKGROUND
T00791,BACKGROUND
T00792,BACKGROUND
T00793,METHODS
T00794,BACKGROUND
T00795,METHODS
T00796,METHODS
T00797,METHODS
T00798,RESULTS
T00799,METHODS
T00800,METHODS
T00801,METHODS
T00802,BACKGROUND
T00803,METHODS
T00804,BACKGROUND
T00805,BACKGROUND
T00806,METHODS
T00807,BACKGROUND
T00808,METHODS
T00809,BACKGROUND
T00810,OBJECTIVES
T00811,BACKGROUND
T00812,METHODS
T00813,RESULTS
T00814,BACKGROUND
T00815,METHODS
T00816,METHODS
T00817,BACKGROUND
T00818,METHODS
T00819,RESULTS
T00820,RESULTS
T00821,METHODS
T00822,BACKGROUND
T00823,METHODS
T00824,METHODS
T00825,BACKGROUND
T00826,METHODS
T00827,BACKGROUND
T00828,METHODS
T00829,BACKGROUND
T00830,BACKGROUND
T00831,METHODS
T00832,BACKGROUND
T00833,BACKGROUND
T00834,BACKGROUND
T00835,METHODS
T00836,BACKGROUND
T00837,BACKGROUND
T00838,METHODS
T00839,METHODS
T00840,METHODS
T00841,METHODS
T00842,BACKGROUND
T00843,METHODS
T00844,BACKGROUND
T00845,METHODS
T00846,BACKGROUND
T00847,METHODS
T00848,METHODS
T00849,METHODS
T00850,METHODS
T00851,OBJECTIVES
T00852,METHODS
T00853,METHODS
T00854,RESULTS
T00855,METHODS
T00856,RESULTS
T00857,METHODS
T00858,METHODS
T00859,METHODS
T00860,METHODS
T00861,BACKGROUND
T00862,METHODS
T00863,METHODS
T00864,METHODS
T00865,BACKGROUND
T00866,BACKGROUND
T00867,METHODS
T00868,BACKGROUND
T00869,METHODS
T00870,BACKGROUND
T00871,METHODS
T00872,METHODS
T00873,RESULTS
T00874,BACKGROUND
T00875,BACKGROUND
T00876,METHODS
T00877,BACKGROUND
T00878,BACKGROUND
T00879,METHODS
T00880,BACKGROUND
T00881,METHODS
T00882,METHODS
T00883,BACKGROUND
T00884,BACKGROUND
T00885,BACKGROUND
T00886,METHODS
T00887,BACKGROUND
T00888,METHODS
T00889,BACKGROUND
T00890,BACKGROUND
T00891,OBJECTIVES
T00892,METHODS
T00893,BACKGROUND
T00894,BACKGROUND
T00895,BACKGROUND
T00896,OBJECTIVES
T00897,METHODS
T00898,BACKGROUND
T00899,BACKGROUND
T00900,BACKGROUND
T00901,RESULTS
T00902,METHODS
T00903,RESULTS
T00904,BACKGROUND
T00905,METHODS
T00906,METHODS
T00907,RESULTS
T00908,BACKGROUND
T00909,BACKGROUND
T00910,METHODS
T00911,METHODS
T00912,RESULTS
T00913,BACKGROUND
T00914,METHODS
T00915,METHODS
T00916,METHODS
T00917,METHODS
T00918,METHODS
T00919,BACKGROUND
T00920,METHODS
T00921,RESULTS
T00922,BACKGROUND
T00923,RESULTS
T00924,BACKGROUND
T00925,METHODS
T00926,METHODS
T00927,BACKGROUND
T00928,METHODS
T00929,METHODS
T00930,METHODS
T00931,METHODS
T00932,METHODS
T00933,BACKGROUND
T00934,BACKGROUND
T00935,METHODS
T00936,METHODS
T00937,BACKGROUND
T00938,RESULTS
T00939,BACKGROUND
T00940,BACKGROUND
T00941,RESULTS
T00942,BACKGROUND
T00943,BACKGROUND
T00944,METHODS
T00945,METHODS
T00946,RESULTS
T00947,RESULTS
T00948,RESULTS
T00949,BACKGROUND
T00950,BACKGROUND
T00951,RESULTS
T00952,METHODS
T00953,METHODS
T00954,BACKGROUND
T00955,BACKGROUND
T00956,RESULTS
T00957,BACKGROUND
T00958,BACKGROUND
T00959,BACKGROUND
T00960,METHODS
T00961,BACKGROUND
T00962,BACKGROUND
T00963,BACKGROUND
T00964,BACKGROUND
T00965,BACKGROUND
T00966,BACKGROUND
T00967,METHODS
T00968,METHODS
T00969,BACKGROUND
T00970,BACKGROUND
T00971,METHODS
T00972,METHODS
T00973,METHODS
T00974,METHODS
T00975,BACKGROUND
T00976,METHODS
T00977,METHODS
T00978,METHODS
T00979,METHODS
T00980,RESULTS
T00981,METHODS
T00982,METHODS
T00983,RESULTS
T00984,BACKGROUND
T00985,RESULTS
T00986,METHODS
T00987,RESULTS
T00988,METHODS
T00989,METHODS
T00990,BACKGROUND
T00991,METHODS
T00992,RESULTS
T00993,BACKGROUND
T00994,BACKGROUND
T00995,BACKGROUND
T00996,BACKGROUND
T00997,METHODS
T00998,METHODS
T00999,METHODS
T01000,METHODS
T01001,METHODS
T01002,METHODS
T01003,BACKGROUND
T01004,METHODS
T01005,RESULTS
T01006,METHODS
T01007,METHODS
T01008,RESULTS
T01009,METHODS
T01010,RESULTS
T01011,METHODS
T01012,BACKGROUND
T01013,RESULTS
T01014,BACKGROUND
T01015,METHODS
T01016,METHODS
T01017,BACKGROUND
T01018,METHODS
T01019,METHODS
T01020,BACKGROUND
T01021,RESULTS
T01022,BACKGROUND
T01023,METHODS
T01024,RESULTS
T01025,RESULTS
T01026,METHODS
T01027,BACKGROUND
T01028,BACKGROUND
T01029,BACKGROUND
T01030,METHODS
T01031,METHODS
T01032,METHODS
T01033,BACKGROUND
T01034,METHODS
T01035,RESULTS
T01036,BACKGROUND
T01037,BACKGROUND
T01038,BACKGROUND
T01039,RESULTS
T01040,METHODS
T01041,METHODS
T01042,RESULTS
T01043,BACKGROUND
T01044,METHODS
T01045,METHODS
T01046,BACKGROUND
T01047,METHODS
T01048,METHODS
T01049,METHODS
T01050,BACKGROUND
T01051,BACKGROUND
T01052,METHODS
T01053,RESULTS
T01054,BACKGROUND
T01055,METHODS
T01056,METHODS
T01057,BACKGROUND
T01058,METHODS
T01059,OBJECTIVES
T01060,METHODS
T01061,METHODS
T01062,METHODS
T01063,METHODS
T01064,METHODS
T01065,METHODS
T01066,BACKGROUND
T01067,METHODS
T01068,METHODS
T01069,METHODS
T01070,BACKGROUND
T01071,RESULTS
T01072,BACKGROUND
T01073,BACKGROUND
T01074,RESULTS
T01075,METHODS
T01076,RESULTS
T01077,METHODS
T01078,METHODS
T01079,RESULTS
T01080,METHODS
T01081,METHODS
T01082,RESULTS
T01083,RESULTS
T01084,BACKGROUND
T01085,RESULTS
T01086,METHODS
T01087,METHODS
T01088,METHODS
T01089,METHODS
T01090,METHODS
T01091,RESULTS
T01092,METHODS
T01093,BACKGROUND
T01094,BACKGROUND
T01095,BACKGROUND
T01096,METHODS
T01097,RESULTS
T01098,BACKGROUND
T01099,RESULTS
T01100,METHODS
T01101,METHODS
T01102,BACKGROUND
T01103,METHODS
T01104,BACKGROUND
T01105,METHODS
T01106,METHODS
T01107,METHODS
T01108,BACKGROUND
T01109,METHODS
T01110,BACKGROUND
T01111,BACKGROUND
T01112,BACKGROUND
T01113,BACKGROUND
T01114,METHODS
T01115,BACKGROUND
T01116,RESULTS
T01117,METHODS
T01118,METHODS
T01119,BACKGROUND
T01120,METHODS
T01121,BACKGROUND
T01122,OBJECTIVES
T01123,BACKGROUND
T01124,BACKGROUND
T01125,BACKGROUND
T01126,BACKGROUND
T01127,BACKGROUND
T01128,METHODS
T01129,METHODS
T01130,METHODS
T01131,METHODS
T01132,BACKGROUND
T01133,BACKGROUND
T01134,METHODS
T01135,METHODS
T01136,RESULTS
T01137,RESULTS
T01138,BACKGROUND
T01139,METHODS
T01140,METHODS
T01141,METHODS
T01142,METHODS
T01143,BACKGROUND
T01144,BACKGROUND
T01145,METHODS
T01146,RESULTS
T01147,METHODS
T01148,METHODS
T01149,BACKGROUND
T01150,BACKGROUND
T01151,RESULTS
T01152,BACKGROUND
T01153,METHODS
T01154,BACKGROUND
T01155,BACKGROUND
T01156,BACKGROUND
T01157,METHODS
T01158,METHODS
T01159,RESULTS
T01160,BACKGROUND
T01161,METHODS
T01162,BACKGROUND
T01163,METHODS
T01164,RESULTS
T01165,METHODS
T01166,BACKGROUND
T01167,BACKGROUND
T01168,METHODS
T01169,METHODS
T01170,METHODS
T01171,BACKGROUND
T01172,BACKGROUND
T01173,BACKGROUND
T01174,BACKGROUND
T01175,METHODS
T01176,BACKGROUND
T01177,BACKGROUND
T01178,BACKGROUND
T01179,METHODS
T01180,RESULTS
T01181,RESULTS
T01182,METHODS
T01183,BACKGROUND
T01184,METHODS
T01185,METHODS
T01186,BACKGROUND
T01187,METHODS
T01188,RESULTS
T01189,METHODS
T01190,METHODS
T01191,METHODS
T01192,RESULTS
T01193,METHODS
T01194,RESULTS
T01195,METHODS
T01196,BACKGROUND
T01197,BACKGROUND
T01198,BACKGROUND
T01199,RESULTS
T01200,METHODS
T01201,METHODS
T01202,METHODS
T01203,BACKGROUND
T01204,METHODS
T01205,BACKGROUND
T01206,RESULTS
T01207,METHODS
T01208,RESULTS
T01209,BACKGROUND
T01210,METHODS
T01211,RESULTS
T01212,METHODS
T01213,BACKGROUND
T01214,BACKGROUND
T01215,BACKGROUND
T01216,METHODS
T01217,METHODS
T01218,BACKGROUND
T01219,BACKGROUND
T01220,METHODS
T01221,RESULTS
T01222,BACKGROUND
T01223,BACKGROUND
T01224,BACKGROUND
T01225,BACKGROUND
T01226,BACKGROUND
T01227,METHODS
T01228,BACKGROUND
T01229,BACKGROUND
T01230,RESULTS
T01231,METHODS
T01232,METHODS
T01233,METHODS
T01234,BACKGROUND
T01235,BACKGROUND
T01236,METHODS
T01237,METHODS
T01238,METHODS
T01239,METHODS
T01240,RESULTS
T01241,BACKGROUND
T01242,BACKGROUND
T01243,METHODS
T01244,METHODS
T01245,RESULTS
T01246,BACKGROUND
T01247,METHODS
T01248,BACKGROUND
T01249,METHODS
T01250,BACKGROUND
T01251,RESULTS
T01252,BACKGROUND
T01253,RESULTS
T01254,RESULTS
T01255,BACKGROUND
T01256,BACKGROUND
T01257,METHODS
T01258,BACKGROUND
T01259,METHODS
T01260,RESULTS
T01261,BACKGROUND
T01262,METHODS
T01263,METHODS
T01264,BACKGROUND
T01265,BACKGROUND
T01266,METHODS
T01267,METHODS
T01268,METHODS
T01269,METHODS
T01270,METHODS
T01271,METHODS
T01272,METHODS
T01273,METHODS
T01274,BACKGROUND
T01275,BACKGROUND
T01276,METHODS
T01277,BACKGROUND
T01278,METHODS
T01279,BACKGROUND
T01280,METHODS
T01281,BACKGROUND
T01282,RESULTS
T01283,METHODS
T01284,RESULTS
T01285,METHODS
T01286,RESULTS
T01287,RESULTS
T01288,RESULTS
T01289,METHODS
T01290,BACKGROUND
T01291,METHODS
T01292,BACKGROUND
T01293,METHODS
T01294,METHODS
T01295,BACKGROUND
T01296,BACKGROUND
T01297,RESULTS
T01298,BACKGROUND
T01299,METHODS
T01300,BACKGROUND
T01301,RESULTS
T01302,METHODS
T01303,BACKGROUND
T01304,RESULTS
T01305,BACKGROUND
T01306,BACKGROUND
T01307,BACKGROUND
T01308,BACKGROUND
T01309,METHODS
T01310,BACKGROUND
T01311,METHODS
T01312,METHODS
T01313,RESULTS
T01314,METHODS
T01315,METHODS
T01316,BACKGROUND
T01317,METHODS
T01318,METHODS
T01319,METHODS
T01320,METHODS
T01321,METHODS
T01322,BACKGROUND
T01323,BACKGROUND
T01324,METHODS
T01325,METHODS
T01326,BACKGROUND
T01327,METHODS
T01328,METHODS
T01329,BACKGROUND
T01330,BACKGROUND
T01331,BACKGROUND
T01332,BACKGROUND
T01333,BACKGROUND
T01334,METHODS
T01335,METHODS
T01336,METHODS
T01337,METHODS
T01338,BACKGROUND
T01339,METHODS
T01340,METHODS
T01341,BACKGROUND
T01342,BACKGROUND
T01343,BACKGROUND
T01344,METHODS
T01345,METHODS
T01346,METHODS
T01347,METHODS
T01348,BACKGROUND
T01349,BACKGROUND
T01350,RESULTS
T01351,BACKGROUND
T01352,BACKGROUND
T01353,METHODS
T01354,METHODS
T01355,METHODS
T01356,RESULTS
T01357,BACKGROUND
T01358,BACKGROUND
