,Abstract,Task 1
142,"Inspired by previous work of Grigoriev-Shpilrain in the context of graphs, we define two new problems: Subgroup Isomorphism Problem and Group Homomorphism Problem.",BACKGROUND
144,"For right-angled Artin groups, the Group Homomorphism and Graph Homomorphism problems are equivalent, and the later is known to be NP-complete.",BACKGROUND
146,"Publishing articles in high-impact English journals is difficult for scholars around the world, especially for non-native English-speaking scholars (NNESs), most of whom struggle with proficiency in English.",BACKGROUND
150,Centrality is an important notion in complex networks; it could be used to characterize how influential a node or an edge is in the network.,BACKGROUND
151,It plays an important role in several other network analysis tools including community detection.,BACKGROUND
152,"Even though there are a small number of axiomatic frameworks associated with this notion, the existing formalizations are not generic in nature.",BACKGROUND
156,Reconstruction of signals from compressively sensed measurements is an ill-posed problem.,BACKGROUND
162,"In the last decade, social media has evolved as one of the leading platform to create, share, or exchange information; it is commonly used as a way for individuals to maintain social connections.",BACKGROUND
163,"In this online digital world, people use to post texts or pictures to express their views socially and create user-user engagement through discussions and conversations.",BACKGROUND
164,"Thus, social media has established itself to bear signals relating to human behavior.",BACKGROUND
165,One can easily design user characteristic network by scraping through someone's social media profiles.,BACKGROUND
170,This paper explores the potential of extreme learning machine based supervised classification algorithm for land cover classification.,BACKGROUND
171,"In comparison to a backpropagation neural network, which requires setting of several user-defined parameters and may produce local minima, extreme learning machine require setting of one parameter and produce a unique solution.",BACKGROUND/OBJECTIVES/METHODS
176,"End-to-end models for goal-orientated dialogue are challenging to train, because linguistic and strategic aspects are entangled in latent state vectors.",BACKGROUND
186,In Future Internet it is possible to change elements of congestion control in order to eliminate jitter and batch loss caused by the current control mechanisms based on packet loss events.,BACKGROUND
193,Software quality in use comprises quality from the user's perspective.,BACKGROUND
194,"It has gained its importance in e-government applications, mobile-based applications, embedded systems, and even business process development.",BACKGROUND
195,User's decisions on software acquisitions are often ad hoc or based on preference due to difficulty in quantitatively measuring software quality in use.,BACKGROUND
201,Static type errors are a common stumbling block for newcomers to typed functional languages.,BACKGROUND
209,"While large-scale knowledge graphs provide vast amounts of structured facts about entities, a short textual description can often be useful to succinctly characterize an entity and its type.",BACKGROUND
210,"Unfortunately, many knowledge graph entities lack such textual descriptions.",BACKGROUND
214,"In contrast to previous works, we seek extractors for essentially all the entropy without any assumption on the underlying distribution beyond a min-entropy requirement.",BACKGROUND
220,"One of the most interesting features of Bayesian optimization for direct policy search is that it can leverage priors (e.g., from simulation or from previous tasks) to accelerate learning on a robot.",BACKGROUND
228,"While machine learning approaches to image restoration offer great promise, current methods risk training models fixated on performing well only for image corruption of a particular level of difficulty---such as a certain level of noise or blur.",BACKGROUND
233,"We consider a network of prosumers involved in peer-to-peer energy exchanges, with differentiation price preferences on the trades with their neighbors, and we analyze two market designs: (i) a centralized market, used as a benchmark, where a global market operator optimizes the flows (trades) between the nodes, local demand and flexibility activation to maximize the system overall social welfare; (ii) a distributed peer-to-peer market design where prosumers in local energy communities optimize selfishly their trades, demand, and flexibility activation.",BACKGROUND
240,One important factor determining the computational complexity of evaluating a probabilistic network is the cardinality of the state spaces of the nodes.,BACKGROUND
241,"By varying the granularity of the state spaces, one can trade off accuracy in the result for computational efficiency.",BACKGROUND
246,"For each document we annotated sentiments from the author to mentioned named entities, and sentiments of relations between mentioned entities.",BACKGROUND
250,"The virtual reality concept is familiar to us from online worlds, but our world as a virtual reality is usually a subject for science fiction rather than science.",BACKGROUND
251,Yet logically the world could be an information simulation running on a multi-dimensional space-time screen.,BACKGROUND
257,A central problem to understanding intelligence is the concept of generalisation.,BACKGROUND
258,This allows previously learnt structure to be exploited to solve tasks in novel situations differing in their particularities.,BACKGROUND
265,"Recently, compressive antenna arrays have been considered for DoA estimation with reduced hardware complexity.",BACKGROUND
266,"By utilizing compressive sensing, such arrays employ a linear combining network to combine signals from a larger set of antenna elements in the analog RF domain.",BACKGROUND
270,"A mobile robot deployed for remote inspection, surveying or rescue missions can fail due to various possibilities and can be hardware or software related.",BACKGROUND
271,These failure scenarios necessitate manual recovery (self-rescue) of the robot from the environment.,BACKGROUND
272,It would bring unforeseen challenges to recover the mobile robot if the environment where it was deployed had hazardous or harmful conditions (e.g. ionizing radiations).,BACKGROUND
275,This article presents the novel breakthrough general purpose algorithm for large scale optimization problems.,BACKGROUND/OBJECTIVES
280,"High level understanding of sequential visual input is important for safe and stable autonomy, especially in localization and object detection.",BACKGROUND
281,"While traditional object classification and tracking approaches are specifically designed to handle variations in rotation and scale, current state-of-the-art approaches based on deep learning achieve better performance.",BACKGROUND
297,These spots or zone need to be guarded thermally to ensure performance and reliability of the chip.,BACKGROUND
302,One of the key differences between the learning mechanism of humans and Artificial Neural Networks (ANNs) is the ability of humans to learn one task at a time.,BACKGROUND
303,"ANNs, on the other hand, can only learn multiple tasks simultaneously.",BACKGROUND
304,Any attempts at learning new tasks incrementally cause them to completely forget about previous tasks.,BACKGROUND
305,"This lack of ability to learn incrementally, called Catastrophic Forgetting, is considered a major hurdle in building a true AI system.",BACKGROUND
312,Policy gradient is an efficient technique for improving a policy in a reinforcement learning setting.,BACKGROUND
313,"However, vanilla online variants are on-policy only and not able to take advantage of off-policy data.",BACKGROUND
321,This work briefly surveys unconventional research in Russia from the end of the 19th until the beginning of the 21th centuries in areas related to generation and detection of a 'high-penetrating' emission of non-biological origin.,BACKGROUND
336,"In wind farms, wake interaction leads to losses in power capture and accelerated structural degradation when compared to freestanding turbines.",BACKGROUND
337,"One method to reduce wake losses is by misaligning the rotor with the incoming flow using its yaw actuator, thereby laterally deflecting the wake away from downstream turbines.",BACKGROUND
338,"However, this demands an accurate and computationally tractable model of the wind farm dynamics.",BACKGROUND
343,Behavior Trees (BTs) have become a popular framework for designing controllers of autonomous agents in the computer game and in the robotics industry.,BACKGROUND
344,"One of the key advantages of BTs lies in their modularity, where independent modules can be composed to create more complex ones.",BACKGROUND
345,"In the classical formulation of BTs, modules can be composed using one of the three operators: Sequence, Fallback, and Parallel.",BACKGROUND
351,The problem of comparing concepts of dependence in general rough sets with those in probability theory had been initiated by the present author in some of her recent papers.,BACKGROUND
352,This problem relates to the identification of the limitations of translating between the methodologies and possibilities in the identification of concepts.,BACKGROUND
354,The deviant probability framework has been the result of such an approach.,BACKGROUND/RESULTS
355,Other Bayesian reasoning perspectives (involving numeric valuations) and frequentist approaches are also known.,BACKGROUND
358,This paper is concerned with the effect of overlay network topology on the performance of live streaming peer-to-peer systems.,BACKGROUND
363,"Bootstrap percolation is an often used model to study the spread of diseases, rumors, and information on sparse random graphs.",BACKGROUND
364,The percolation process demonstrates a critical value such that the graph is either almost completely affected or almost completely unaffected based on the initial seed being larger or smaller than the critical value.,BACKGROUND
368,"In these graphs the vertices are grouped in a small number of clusters, the clusters model a fixed communication network and the edge probability is dependent if the vertices are in close or far clusters.",BACKGROUND
370,"We present the first parser for UCCA, a cross-linguistically applicable framework for semantic representation, which builds on extensive typological work and supports rapid annotation.",BACKGROUND
371,"UCCA poses a challenge for existing parsing techniques, as it exhibits reentrancy (resulting in DAG structures), discontinuous structures and non-terminal nodes corresponding to complex semantic units.",BACKGROUND
372,"To our knowledge, the conjunction of these formal properties is not supported by any existing parser.",BACKGROUND
374,Policy gradient methods are a widely used class of model-free reinforcement learning algorithms where a state-dependent baseline is used to reduce gradient estimator variance.,BACKGROUND
375,Several recent papers extend the baseline to depend on both the state and action and suggest that this significantly reduces variance and improves sample efficiency without introducing bias into the gradient estimates.,BACKGROUND
379,"Identifying the relations that exist between words (or entities) is important for various natural language processing tasks such as, relational search, noun-modifier classification and analogy detection.",BACKGROUND/OBJECTIVES
386,"We present a language independent, unsupervised method for building word embeddings using morphological expansion of text.",BACKGROUND/OBJECTIVES
391,Efforts are underway at UT Austin to build autonomous robot systems that address the challenges of long-term deployments in office environments and of the more prescribed domestic service tasks of the RoboCup@Home competition.,BACKGROUND
393,"Further, naturalistic deployments of our office robot platform as part of the Building-Wide Intelligence project have led us to identify and research new problems in a traditional laboratory setting.",BACKGROUND
394,"Although nonstationary data are more common in the real world, most existing causal discovery methods do not take nonstationarity into consideration.",BACKGROUND
401,"Dou Shou Qi is a game in which two players control a number of pieces, each of them aiming to move one of their pieces onto a given square.",BACKGROUND
407,"As deep neural networks (DNNs) have been integrated into critical systems, several methods to attack these systems have been developed.",BACKGROUND
408,These adversarial attacks make imperceptible modifications to an image that fool DNN classifiers.,BACKGROUND
412,One of the most fundamental questions one can ask about a pair of random variables X and Y is the value of their mutual information.,BACKGROUND
413,"Unfortunately, this task is often stymied by the extremely large dimension of the variables.",BACKGROUND
415,"The theoretically ideal implementation is the use of minimal sufficient statistics, where it is well-known that either X or Y can be replaced by their minimal sufficient statistic about the other while preserving the mutual information.",BACKGROUND
420,"That is, the past-future mutual information (the excess entropy) is the amount of information about the future that can be predicted using the past.",BACKGROUND
423,A conditional Generative Adversarial Network allows for generating samples conditioned on certain external information.,BACKGROUND
426,Such a recovery is not trivial due to the often multi-layered non-linearity of deep neural networks.,BACKGROUND
432,Query-expansion via pseudo-relevance feedback is a popular method of overcoming the problem of vocabulary mismatch and of increasing average retrieval effectiveness.,BACKGROUND
436,"Distribution regression has recently attracted much interest as a generic solution to the problem of supervised learning where labels are available at the group level, rather than at the individual level.",BACKGROUND
438,"This effectively assumes that small and large groups are estimated equally well, and should have equal weight in the final regression.",BACKGROUND
442,Analyzing job hopping behavior is important for the understanding of job preference and career progression of working individuals.,BACKGROUND
443,"When analyzed at the workforce population level, job hop analysis helps to gain insights of talent flow and organization competition.",BACKGROUND
444,"Traditionally, surveys are conducted on job seekers and employers to study job behavior.",BACKGROUND
445,"While surveys are good at getting direct user input to specially designed questions, they are often not scalable and timely enough to cope with fast-changing job landscape.",BACKGROUND
457,"We consider a compressed sensing problem in which both the measurement and the sparsifying systems are assumed to be frames (not necessarily tight) of the underlying Hilbert space of signals, which may be finite or infinite dimensional.",BACKGROUND/OBJECTIVES
462,Social health and emotional wellness is a matter of concern in today's urban world.,BACKGROUND
463,"Being the part of a metropolis has an effect on mental health through the influence of increased stressors and factors such as overcrowded and polluted environment, high levels of violence, and reduced social support.",BACKGROUND
464,It is important to realize that only healthy citizens can constitute together a smart city.,BACKGROUND
469,The visual observation and tracking of cells and other micrometer-sized objects has many different biomedical applications.,BACKGROUND
470,The automation of those tasks based on computer methods helps in the evaluation of such measurements.,BACKGROUND
477,In iterative supervised learning algorithms it is common to reach a point in the search where no further induction seems to be possible with the available data.,BACKGROUND
478,"If the search is continued beyond this point, the risk of overfitting increases significantly.",BACKGROUND
485,"Convolutional rectifier networks, i.e. convolutional neural networks with rectified linear activation and max or average pooling, are the cornerstone of modern deep learning.",BACKGROUND
486,"However, despite their wide use and success, our theoretical understanding of the expressive properties that drive these networks is partial at best.",BACKGROUND
487,"On the other hand, we have a much firmer grasp of these issues in the world of arithmetic circuits.",BACKGROUND
488,"Specifically, it is known that convolutional arithmetic circuits possess the property of ""complete depth efficiency"", meaning that besides a negligible set, all functions that can be implemented by a deep network of polynomial size, require exponential size in order to be implemented (or even approximated) by a shallow network.",BACKGROUND
494,An adversarial example is an example that has been adjusted to produce the wrong label when presented to a system at test time.,BACKGROUND
495,"If adversarial examples existed that could fool a detector, they could be used to (for example) wreak havoc on roads populated with smart vehicles.",BACKGROUND
496,"Recently, we described our difficulties creating physical adversarial stop signs that fool a detector.",BACKGROUND
497,"More recently, Evtimov et al. produced a physical adversarial stop sign that fools a proxy model of a detector.",BACKGROUND
500,'s construction relies on a crop of the image to the stop sign; this crop is then resized and presented to a classifier.,BACKGROUND
507,The residual neural network (ResNet) is a popular deep network architecture which has the ability to obtain high-accuracy results on several image processing problems.,BACKGROUND
508,"In order to analyze the behavior and structure of ResNet, recent work has been on establishing connections between ResNets and continuous-time optimal control problems.",BACKGROUND
514,Acute kidney injury (AKI) is a common and serious complication after a surgery which is associated with morbidity and mortality.,BACKGROUND
515,The majority of existing perioperative AKI risk score prediction models are limited in their generalizability and do not fully utilize the physiological intraoperative time-series data.,BACKGROUND/OBJECTIVES
525,"Smart cities are an actual trend being pursued by research that, fundamentally, tries to improve city's management on behalf of a better human quality of live.",BACKGROUND
529,Artificial intelligence and machine learning have been major research interests in computer science for the better part of the last few decades.,BACKGROUND
530,"However, all too recently, both AI and ML have rapidly grown to be media frenzies, pressuring companies and researchers to claim they use these technologies.",BACKGROUND
533,"Solar forecasting accuracy is affected by weather conditions, and weather awareness forecasting models are expected to improve the performance.",BACKGROUND
534,"However, it may not be available and reliable to classify different forecasting tasks by using only meteorological weather categorization.",BACKGROUND
542,"We focus on adversarial patrolling games on arbitrary graphs, where the Defender can control a mobile resource, the targets are alarmed by an alarm system, and the Attacker can observe the actions of the mobile resource of the Defender and perform different attacks exploiting multiple resources.",BACKGROUND
543,This scenario can be modeled as a zero-sum extensive-form game in which each player can play multiple times.,BACKGROUND/METHODS
547,"Furthermore, since in real-world scenarios it is implausible that the Defender knows the number of attacking resources, we study the robustness of the Defender's strategy when she makes a wrong guess about that number.",BACKGROUND/OBJECTIVES
549,"However, a more suitable definition of inefficiency is given by the difference of the Defender's utilities: this way, we observe that the higher the error in the estimation, the higher the loss for the Defender.",BACKGROUND
552,"Robotic systems are complex and critical: they are inherently hybrid, combining both hardware and software; they typically exhibit both cyber-physical attributes and autonomous capabilities; and are required to be at least safe and often ethical.",BACKGROUND
553,"While for many engineered systems testing, either through real deployment or via simulation, is deemed sufficient the uniquely challenging elements of robotic systems, together with the crucial dependence on sophisticated software control and decision-making, requires a stronger form of verification.",BACKGROUND
554,"The increasing deployment of robotic systems in safety-critical scenarios exacerbates this still further and leads us towards the use of formal methods to ensure the correctness of, and provide sufficient evidence for the certification of, robotic systems.",BACKGROUND
558,"This paper presents a multi-contact approach to generalized humanoid fall mitigation planning that unifies inertial shaping, protective stepping, and hand contact strategies.",BACKGROUND/OBJECTIVES
565,Feedback mechanism based algorithms are frequently used to solve network optimization problems.,BACKGROUND
566,These schemes involve users and network exchanging information (e.g. requests for bandwidth allocation and pricing) to achieve convergence towards an optimal solution.,BACKGROUND
567,"However, in the implementation, these algorithms do not guarantee that messages will be delivered to the destination when network congestion occurs.",BACKGROUND
568,"This in turn often results in packet drops, which may cause information loss, and this condition may lead to algorithm failing to converge.",BACKGROUND/OBJECTIVES
572,"In training a deep learning system to perform audio event detection, two practical problems arise.",BACKGROUND
573,"Firstly, most datasets are ""weakly labelled"" having only a list of events present in each recording without any temporal information for training.",BACKGROUND
574,"Secondly, deep neural networks need a very large amount of labelled training data to achieve good quality performance, yet in practice it is difficult to collect enough samples for most classes of interest.",BACKGROUND
578,"Objects may appear at arbitrary scales in perspective images of a scene, posing a challenge for recognition systems that process images at a fixed resolution.",BACKGROUND
586,State-of-the-art branch and bound algorithms for mixed integer programming make use of special methods for making branching decisions.,BACKGROUND
587,"Strategies that have gained prominence include modern variants of so-called strong branching (Applegate, et al.,1995) and reliability branching (Achterberg, Koch and Martin, 2005; Hendel, 2015), which select variables for branching by solving associated linear programs and exploit pseudo-costs (Benichou et al., 1971).",BACKGROUND
593,The core mathematics of our procedure is based on univariate cylindrical algebraic decomposition.,BACKGROUND
599,This can be achieved by sequentially or jointly applying handwritten text recognition (HTR) and named entity recognition (NER).,BACKGROUND/METHODS
608,This paper structures a novel vision for OLAP by fundamentally redefining several of the pillars on which OLAP has been based for the last 20 years.,BACKGROUND
619,Such drainage promotes inefficient resource usage thereby causing sudden death of the network.,BACKGROUND
620,The second main bottleneck for such networks is that of data degradation.,BACKGROUND
621,"This is because the nodes in such networks communicate via a wireless channel, where the inevitable presence of noise corrupts the data making it unsuitable for practical applications.",BACKGROUND
626,"Recently, there have been increasing demands to construct compact deep architectures to remove unnecessary redundancy and to improve the inference speed.",BACKGROUND
627,"While many recent works focus on reducing the redundancy by eliminating unneeded weight parameters, it is not possible to apply a single deep architecture for multiple devices with different resources.",BACKGROUND
628,"When a new device or circumstantial condition requires a new deep architecture, it is necessary to construct and train a new network from scratch.",BACKGROUND
644,"High-order parametric models that include terms for feature interactions are applied to various data mining tasks, where ground truth depends on interactions of features.",BACKGROUND
645,"However, with sparse data, the high- dimensional parameters for feature interactions often face three issues: expensive computation, difficulty in parameter estimation and lack of structure.",BACKGROUND
646,Previous work has proposed approaches which can partially re- solve the three issues.,BACKGROUND
647,"In particular, models with factorized parameters (e.g.",BACKGROUND
648,Factorization Machines) and sparse learning algorithms (e.g.,BACKGROUND
649,FTRL-Proximal) can tackle the first two issues but fail to address the third.,BACKGROUND
650,"Regarding to unstructured parameters, constraints or complicated regularization terms are applied such that hierarchical structures can be imposed.",BACKGROUND
651,"However, these methods make the optimization problem more challenging.",BACKGROUND
654,Information Technology (IT) significantly impacts the environment throughout its life cycle.,BACKGROUND
655,Most enterprises have not paid enough attention to this until recently.,BACKGROUND
656,"IT's environmental impact can be significantly reduced by behavioral changes, as well as technology changes.",BACKGROUND
657,"Given the relative energy and materials inefficiency of most IT infrastructures today, many green IT initiatives can be easily tackled at no incremental cost.",BACKGROUND
658,"The Green Grid - a non-profit trade organization of IT professionals is such an initiative, formed to initiate the issues of power and cooling in data centers, scattered world-wide.",BACKGROUND
659,"The Green Grid seeks to define best practices for optimizing the efficient consumption of power at IT equipment and facility levels, as well as the manner in which cooling is delivered at these levels hence, providing promising attitude in bringing down the environmental hazards, as well as proceeding to the new era of green computing.",BACKGROUND
661,Sparse Subspace Clustering (SSC) has been used extensively for subspace identification tasks due to its theoretical guarantees and relative ease of implementation.,BACKGROUND
662,However SSC has quadratic computation and memory requirements with respect to the number of input data points.,BACKGROUND
663,This burden has prohibited SSCs use for all but the smallest datasets.,BACKGROUND
678,"Machine learning is increasingly targeting areas where input data cannot be accurately described by a single vector, but can be modeled instead using the more flexible concept of random vectors, namely probability measures or more simply point clouds of varying cardinality.",BACKGROUND
679,"Using deep architectures on measures poses, however, many challenging issues.",BACKGROUND
680,"Indeed, deep architectures are originally designed to handle fixedlength vectors, or, using recursive mechanisms, ordered sequences thereof.",BACKGROUND
681,"In sharp contrast, measures describe a varying number of weighted observations with no particular order.",BACKGROUND
686,"During the life span of large software projects, developers often apply the same code changes to different code locations in slight variations.",BACKGROUND
687,"Since the application of these changes to all locations is time-consuming and error-prone, tools exist that learn change patterns from input examples, search for possible pattern applications, and generate corresponding recommendations.",BACKGROUND
688,"In many cases, the generated recommendations are syntactically or semantically wrong due to code movements in the input examples.",BACKGROUND
689,"Thus, they are of low accuracy and developers cannot directly copy them into their projects without adjustments.",BACKGROUND/OBJECTIVES
693,"E-Learning is efficient, task relevant and just-in-time learning grown from the learning requirements of the new and dynamically changing world.",BACKGROUND
698,The framework has been validated by an interview based qualitative method.,BACKGROUND
699,"Artificial intelligence (AI) has achieved superhuman performance in a growing number of tasks, but understanding and explaining AI remain challenging.",BACKGROUND/OBJECTIVES
704,The assumption that training and testing samples are generated from the same distribution does not always hold for real-world machine-learning applications.,BACKGROUND
705,The procedure of tackling this discrepancy between the training (source) and testing (target) domains is known as domain adaptation.,BACKGROUND
713,"The novel ""Volume-Enclosing Surface exTraction Algorithm"" (VESTA) generates triangular isosurfaces from computed tomography volumetric images and/or three-dimensional (3D) simulation data.",BACKGROUND
716,Geometric model fitting is a fundamental task in computer graphics and computer vision.,BACKGROUND
717,"However, most geometric model fitting methods are unable to fit an arbitrary geometric model (e.g. a surface with holes) to incomplete data, due to that the similarity metrics used in these methods are unable to measure the rigid partial similarity between arbitrary models.",BACKGROUND
720,The task of PPGMF is to search a procedural geometric model space for the model rigidly similar to a query of non-complete point set.,BACKGROUND
721,Models in the procedural model space are generated according to a set of parametric modeling rules.,BACKGROUND
722,A typical query is a point cloud.,BACKGROUND
723,"PPGMF is very useful as it can be used to fit arbitrary geometric models to non-complete (incomplete, over-complete or hybrid-complete) point cloud data.",BACKGROUND
724,"For example, most laser scanning data is non-complete due to occlusion.",BACKGROUND
730,"Secure spontaneous authentication between devices worn at arbitrary location on the same body is a challenging, yet unsolved problem.",BACKGROUND
736,"Along with the emergence and popularity of social communications on the Internet, topic discovery from short texts becomes fundamental to many applications that require semantic understanding of textual content.",BACKGROUND
741,"Based on the in-depth analysis of the essence and features of vague phenomena, this paper focuses on establishing the axiomatical foundation of membership degree theory for vague phenomena, presents an axiomatic system to govern membership degrees and their interconnections.",BACKGROUND
744,"We consider a variation of Construction A of lattices from linear codes based on two classes of number fields, totally real and CM Galois number fields.",BACKGROUND
748,Current approaches in video forecasting attempt to generate videos directly in pixel space using Generative Adversarial Networks (GANs) or Variational Autoencoders (VAEs).,BACKGROUND
749,"However, since these approaches try to model all the structure and scene dynamics at once, in unconstrained settings they often generate uninterpretable results.",BACKGROUND
769,Crowdsourcing has become very popular among the machine learning community as a way to obtain labels that allow a ground truth to be estimated for a given dataset.,BACKGROUND
770,"In most of the approaches that use crowdsourced labels, annotators are asked to provide, for each presented instance, a single class label.",BACKGROUND
775,Extreme learning machine (ELM) is an extremely fast learning method and has a powerful performance for pattern recognition tasks proven by enormous researches and engineers.,BACKGROUND
776,"However, its good generalization ability is built on large numbers of hidden neurons, which is not beneficial to real time response in the test process.",BACKGROUND/OBJECTIVES
781,Connection calculi allow for very compact implementations of goal-directed proof search.,BACKGROUND
790,In this paper we describe the overall idea and results of a recently proposed radio access technique based on filter bank multicarrier (FBMC) communication system using two orthogonal polarizations: dual-polarization FBMC (DP-FBMC).,BACKGROUND/OBJECTIVES/METHODS
798,"Cooperative multi-agent planning (MAP) is a relatively recent research field that combines technologies, algorithms and techniques developed by the Artificial Intelligence Planning and Multi-Agent Systems communities.",BACKGROUND
799,"While planning has been generally treated as a single-agent task, MAP generalizes this concept by considering multiple intelligent agents that work cooperatively to develop a course of action that satisfies the goals of the group.",BACKGROUND
801,"Computer graphics can not only generate synthetic images and ground truth but it also offers the possibility of constructing virtual worlds in which: (i) an agent can perceive, navigate, and take actions guided by AI algorithms, (ii) properties of the worlds can be modified (e.g., material and reflectance), (iii) physical simulations can be performed, and (iv) algorithms can be learnt and evaluated.",BACKGROUND
807,Three-dimensional (3D) biomedical image sets are often acquired with in-plane pixel spacings that are far less than the out-of-plane spacings between images.,BACKGROUND
810,"When acquired images are comprised of signals that describe the flow velocity of fluids, additional information is available to guide the interpolation process.",BACKGROUND
816,"Conventionally, Selective Harmonic Elimination (SHE) method in 2-level inverters, finds best switching angles to reach first voltage harmonic to reference level and eliminate other harmonics, simultaneously.",BACKGROUND/OBJECTIVES
824,Research on optical TEMPEST has moved forward since 2002 when the first pair of papers on the subject emerged independently and from widely separated locations in the world within a week of each other.,BACKGROUND
825,"Since that time, vulnerabilities have evolved along with systems, and several new threat vectors have consequently appeared.",BACKGROUND/OBJECTIVES
826,"Although the supply chain ecosystem of Ethernet has reduced the vulnerability of billions of devices through use of standardised PHY solutions, other recent trends including the Internet of Things (IoT) in both industrial settings and the general population, High Frequency Trading (HFT) in the financial sector, the European General Data Protection Regulation (GDPR), and inexpensive drones have made it relevant again for consideration in the design of new products for privacy.",BACKGROUND
829,State-of-the-art action recognition approaches rely on traditional optical flow estimation methods to pre-compute motion information for CNNs.,BACKGROUND
830,"Such a two-stage approach is computationally expensive, storage demanding, and not end-to-end trainable.",BACKGROUND
835,"Context: Pre-publication peer review of scientific articles is considered a key element of the research process in software engineering, yet it is often perceived as not to work fully well.",BACKGROUND
842,"Inspired by previous work of Shoup, Lenstra-De Smit and Couveignes-Lercier, we give fast algorithms to compute in (the first levels of) the ell-adic closure of a finite field.",BACKGROUND/RESULTS
844,"Convolutional neural networks are designed for dense data, but vision data is often sparse (stereo depth, point clouds, pen stroke, etc.).",BACKGROUND
855,"Bugs that surface in mobile applications can be difficult to reproduce and fix due to several confounding factors including the highly GUI-driven nature of mobile apps, varying contextual states, differing platform versions and device fragmentation.",BACKGROUND
856,It is clear that developers need support in the form of automated tools that allow for more precise reporting of application defects in order to facilitate more efficient and effective bug fixes.,BACKGROUND
859,Evolution sculpts both the body plans and nervous systems of agents together over time.,BACKGROUND
